# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.279 0.101 38.752
0.102 0.315 38.209
0.105 0.273 38.275
0.174 0.106 38.937
0.107 0.172 38.719
0.108 0.052 38.871
0.108 0.011 38.869
0.108 0.308 38.240
0.109 0.207 38.574
0.111 0.288 38.723
0.113 0.052 38.584
0.113 0.090 38.770
0.113 0.129 38.694
0.114 0.193 38.786
0.116 0.040 38.843
0.116 0.037 39.026
0.116 0.233 38.770
0.117 0.187 39.022
0.117 0.115 39.006
0.117 0.208 38.525
0.118 0.144 38.874
0.122 0.178 38.805
0.122 0.189 38.752
0.127 0.327 38.859
0.138 0.128 39.074
0.129 0.117 38.827
0.164 0.130 39.300
0.130 0.218 38.977
0.132 0.152 38.917
0.132 0.290 38.941
0.133 0.036 39.308
0.133 0.153 38.914
0.133 0.034 39.077
0.134 0.205 38.832
0.135 0.026 39.351
0.136 0.229 39.109
0.136 0.123 38.855
0.115 0.138 39.200
0.138 0.243 38.952
0.138 0.236 38.841
0.139 0.216 39.272
0.140 0.177 39.361
0.099 0.140 39.430
0.140 0.094 39.438
0.141 0.011 38.576
0.142 0.149 39.061
0.142 0.007 38.948
0.142 0.184 39.087
0.143 0.273 39.317
0.143 0.024 39.248
0.145 0.185 39.207
0.146 0.094 39.380
0.148 0.131 39.209
0.150 0.276 39.502
0.150 0.116 39.356
0.151 0.035 39.080
0.151 0.035 39.584
0.152 0.039 39.009
0.153 0.106 39.601
0.059 0.156 39.281
0.157 0.165 39.365
0.157 0.152 39.520
0.159 0.054 39.617
0.160 0.267 39.224
0.160 0.170 39.626
0.163 0.237 39.705
0.163 0.199 39.823
0.165 0.029 39.356
0.165 0.051 39.847
0.169 0.079 39.931
0.170 0.118 40.153
0.173 0.070 39.703
0.173 0.176 39.801
0.174 0.311 39.794
0.174 0.288 39.718
0.084 0.175 39.651
0.178 0.117 39.654
0.178 0.258 40.067
0.181 0.418 39.609
0.181 0.137 39.607
0.181 0.302 39.314
0.182 0.351 40.070
0.182 0.207 39.817
0.182 0.217 39.807
0.184 0.047 39.477
0.184 0.151 39.815
0.190 0.093 39.671
0.191 0.388 39.541
0.192 0.230 40.224
0.192 0.273 39.960
0.194 0.297 39.905
0.195 0.109 39.821
0.256 0.195 40.193
0.196 0.194 39.913
0.196 0.280 39.888
0.196 0.186 40.038
0.199 0.130 39.689
0.199 0.258 39.682
0.202 0.292 40.139
0.203 0.167 40.174
0.204 0.267 40.312
0.204 0.123 40.223
0.205 0.224 39.942
0.205 0.020 40.247
0.142 0.208 40.396
0.208 0.216 40.245
0.212 0.223 40.097
0.212 0.204 40.145
0.213 0.324 40.378
0.213 0.208 40.094
0.213 0.140 39.764
0.214 0.170 40.231
0.215 0.268 40.029
0.215 0.107 40.299
0.218 0.163 40.494
0.219 0.274 39.920
0.226 0.354 40.338
0.161 0.227 40.443
0.227 0.280 40.382
0.227 0.239 40.142
0.228 0.010 40.429
0.228 0.139 40.486
0.229 0.134 40.013
0.230 0.495 40.102
0.231 0.159 40.478
0.234 0.029 40.698
0.234 0.125 40.311
0.286 0.234 40.438
0.234 0.244 40.428
0.235 0.231 40.384
0.235 0.209 40.710
0.236 0.146 40.377
0.237 0.150 40.327
0.237 0.298 40.226
0.237 0.243 40.517
0.239 0.397 40.556
0.240 0.272 40.006
0.240 0.281 40.281
0.241 0.376 40.607
0.241 0.253 40.400
0.241 0.301 40.590
0.242 0.191 40.360
0.243 0.128 40.620
0.245 0.238 40.650
0.246 0.110 40.499
0.247 0.145 40.835
0.248 0.223 40.280
0.249 0.128 40.339
0.251 0.269 40.417
0.252 0.247 40.448
0.400 0.253 40.652
0.254 0.300 40.690
0.256 0.307 40.677
0.256 0.362 40.646
0.257 0.392 40.992
0.273 0.259 40.435
0.260 0.311 40.659
0.262 0.292 40.692
0.264 0.269 40.925
0.262 0.264 40.610
0.265 0.221 40.748
0.266 0.208 40.508
0.266 0.282 41.063
0.266 0.087 40.722
0.267 0.303 40.812
0.268 0.167 40.821
0.268 0.289 40.927
0.268 0.218 40.434
0.269 0.228 40.683
0.271 0.171 40.839
0.271 0.045 40.656
0.272 0.327 40.966
0.273 0.315 40.738
0.273 0.344 40.625
0.276 0.107 40.855
0.280 0.152 40.709
0.378 0.280 40.762
0.274 0.281 41.059
0.282 0.271 40.857
0.283 0.247 40.894
0.640 0.284 40.921
0.284 0.235 40.812
0.284 0.257 41.036
0.282 0.285 40.871
0.286 0.250 41.019
0.350 0.286 40.661
0.412 0.288 40.814
0.290 0.090 40.930
0.291 0.151 41.197
0.291 0.300 40.995
0.292 0.303 40.856
0.293 0.429 41.077
0.295 0.287 40.861
0.297 0.461 40.935
0.297 0.282 40.706
0.298 0.190 41.045
0.299 0.339 40.975
0.299 0.200 40.986
0.300 0.263 40.801
0.303 0.236 41.068
0.305 0.380 40.941
0.305 0.269 40.839
0.306 0.345 40.763
0.309 0.497 41.494
0.309 0.114 41.039
0.391 0.314 41.523
0.270 0.314 41.232
0.314 0.342 41.291
0.315 0.184 40.861
0.471 0.316 41.134
0.318 0.166 41.280
0.318 0.308 41.399
0.473 0.320 40.919
0.323 0.216 41.075
0.323 0.433 41.215
0.307 0.323 41.349
0.323 0.311 41.123
0.326 0.310 41.241
0.327 0.177 41.456
0.330 0.271 40.928
0.331 0.353 41.370
0.331 0.300 41.499
0.331 0.372 41.319
0.332 0.431 41.203
0.332 0.254 41.381
0.333 0.266 41.351
0.335 0.301 41.421
0.335 0.263 41.388
0.382 0.338 41.547
0.340 0.522 41.534
0.246 0.341 41.178
0.341 0.279 41.173
0.342 0.199 41.370
0.343 0.257 41.395
0.344 0.287 41.664
0.285 0.347 41.403
0.264 0.349 41.492
0.349 0.250 41.172
0.480 0.350 41.220
0.352 0.274 41.630
0.352 0.350 41.598
0.321 0.353 41.239
0.353 0.288 41.155
0.276 0.355 41.394
0.356 0.405 41.523
0.356 0.170 41.578
0.360 0.380 41.628
0.361 0.439 41.551
0.362 0.315 41.566
0.357 0.363 41.598
0.363 0.507 41.520
0.365 0.348 41.335
0.366 0.378 41.398
0.367 0.366 41.452
0.372 0.523 41.372
0.373 0.572 41.565
0.375 0.222 41.282
0.375 0.148 41.967
0.376 0.337 41.646
0.377 0.409 41.748
0.377 0.532 41.467
0.377 0.411 41.600
0.378 0.319 41.724
0.380 0.331 41.649
0.381 0.486 41.415
0.381 0.366 41.741
0.382 0.535 41.745
0.382 0.391 41.686
0.382 0.463 41.596
0.383 0.494 41.528
0.383 0.513 41.440
0.383 0.323 41.569
0.387 0.513 41.947
0.387 0.308 41.545
0.387 0.538 42.038
0.387 0.275 41.530
0.388 0.337 41.805
0.388 0.291 41.682
0.390 0.384 41.765
0.390 0.293 41.886
0.390 0.443 42.052
0.390 0.277 41.856
0.391 0.344 42.008
0.391 0.404 41.871
0.392 0.555 41.803
0.394 0.413 41.496
0.394 0.423 41.560
0.394 0.437 41.968
0.394 0.372 41.983
0.394 0.475 41.766
0.396 0.490 41.595
0.397 0.369 41.800
0.404 0.281 41.613
0.405 0.430 42.084
0.407 0.307 41.651
0.407 0.542 41.559
0.408 0.411 41.751
0.439 0.408 42.024
0.410 0.594 41.776
0.410 0.431 41.585
0.216 0.411 41.891
0.413 0.445 42.276
0.413 0.320 41.640
0.416 0.337 41.674
0.417 0.631 42.178
0.418 0.351 41.739
0.445 0.418 42.030
0.419 0.456 41.662
0.420 0.375 41.458
0.420 0.343 41.818
0.421 0.665 41.554
0.421 0.410 41.925
0.422 0.303 41.903
0.422 0.406 41.788
0.423 0.309 41.800
0.423 0.284 42.091
0.424 0.504 41.853
0.424 0.309 42.076
0.425 0.458 41.915
0.427 0.235 41.954
0.427 0.386 42.217
0.429 0.357 42.259
0.429 0.317 42.005
0.430 0.453 42.175
0.430 0.221 41.658
0.430 0.361 42.215
0.433 0.603 41.851
0.434 0.557 42.168
0.434 0.414 41.967
0.434 0.399 41.711
0.435 0.445 42.183
0.438 0.520 42.196
0.439 0.438 42.262
0.439 0.221 42.022
0.397 0.440 41.652
0.440 0.393 41.893
0.441 0.592 42.018
0.441 0.433 42.161
0.442 0.670 41.964
0.442 0.461 41.938
0.443 0.342 42.348
0.444 0.462 42.046
0.446 0.516 41.834
0.447 0.415 42.301
0.447 0.538 41.623
0.450 0.445 42.144
0.450 0.647 41.858
0.450 0.437 41.764
0.450 0.325 42.250
0.450 0.381 41.777
0.453 0.606 42.260
0.453 0.493 42.019
0.454 0.322 42.087
0.455 0.395 42.296
0.455 0.528 42.226
0.456 0.297 42.186
0.456 0.372 42.362
0.565 0.458 42.166
0.516 0.459 42.225
0.461 0.449 41.958
0.461 0.573 42.199
0.462 0.273 41.700
0.463 0.383 42.556
0.464 0.560 41.884
0.465 0.414 42.194
0.467 0.368 42.319
0.468 0.365 42.128
0.469 0.624 42.059
0.476 0.414 42.190
0.476 0.530 42.274
0.477 0.501 42.253
0.419 0.477 42.267
0.477 0.666 42.228
0.478 0.399 42.396
0.479 0.389 42.222
0.479 0.447 42.274
0.480 0.513 42.267
0.482 0.568 42.001
0.483 0.340 42.258
0.483 0.481 41.749
0.426 0.483 42.464
0.484 0.368 42.156
0.484 0.585 42.618
0.487 0.314 42.195
0.487 0.599 42.257
0.384 0.487 42.331
0.474 0.488 42.433
0.442 0.491 42.113
0.491 0.530 42.437
0.493 0.735 42.432
0.494 0.637 42.272
0.496 0.375 42.210
0.496 0.382 41.950
0.483 0.497 42.306
0.497 0.388 42.081
0.497 0.393 42.148
0.499 0.427 42.058
0.499 0.421 42.939
0.499 0.551 42.104
0.500 0.502 42.651
0.501 0.327 42.345
0.506 0.553 42.206
0.710 0.507 42.317
0.414 0.507 42.513
0.507 0.503 42.387
0.509 0.346 42.581
0.509 0.430 42.206
0.510 0.283 42.646
0.511 0.521 42.381
0.512 0.416 42.413
0.512 0.590 42.156
0.512 0.464 42.235
0.513 0.492 42.705
0.513 0.309 42.613
0.514 0.417 42.316
0.514 0.525 42.644
0.517 0.569 42.042
0.524 0.645 42.275
0.525 0.743 42.518
0.527 0.674 42.307
0.528 0.539 42.244
0.528 0.585 42.333
0.529 0.585 42.259
0.529 0.620 42.743
0.530 0.636 42.332
0.531 0.682 42.533
0.535 0.531 42.762
0.536 0.711 42.391
0.493 0.536 42.471
0.537 0.558 42.645
0.537 0.418 42.286
0.538 0.618 42.554
0.539 0.504 42.297
0.540 0.434 42.142
0.541 0.671 43.095
0.542 0.491 42.476
0.542 0.558 42.631
0.544 0.551 42.533
0.545 0.570 42.545
0.548 0.569 42.249
0.548 0.460 42.762
0.440 0.550 42.568
0.550 0.566 42.469
0.551 0.524 42.407
0.553 0.502 42.532
0.554 0.423 42.448
0.556 0.576 42.632
0.559 0.606 42.597
0.560 0.764 42.706
0.561 0.446 42.552
0.562 0.453 42.261
0.562 0.567 42.607
0.562 0.496 42.663
0.563 0.528 42.703
0.567 0.496 43.008
0.567 0.507 42.523
0.567 0.442 42.507
0.568 0.702 42.846
0.570 0.443 42.921
0.570 0.410 42.677
0.572 0.600 42.747
0.574 0.619 42.551
0.575 0.589 42.706
0.575 0.568 42.944
0.577 0.457 42.840
0.578 0.787 42.821
0.578 0.368 42.718
0.582 0.562 42.848
0.582 0.629 42.970
0.582 0.606 42.992
0.583 0.635 42.782
0.583 0.608 42.513
0.584 0.675 43.008
0.585 0.573 42.765
0.585 0.636 42.408
0.585 0.472 42.529
0.585 0.514 42.890
0.634 0.586 42.605
0.589 0.612 42.908
0.590 0.586 42.693
0.591 0.704 42.791
0.592 0.594 42.876
0.593 0.524 42.582
0.595 0.689 42.736
0.596 0.545 42.810
0.597 0.640 42.825
0.597 0.618 42.935
0.598 0.636 42.763
0.692 0.603 42.602
0.604 0.597 42.901
0.604 0.729 42.949
0.605 0.682 42.859
0.606 0.508 42.843
0.606 0.784 43.016
0.606 0.558 42.767
0.607 0.786 42.886
0.607 0.472 42.807
0.609 0.504 42.900
0.610 0.683 42.839
0.632 0.611 43.068
0.611 0.664 42.927
0.612 0.640 42.426
0.613 0.626 42.767
0.613 0.534 42.964
0.615 0.510 42.607
0.616 0.644 42.747
0.616 0.647 42.809
0.618 0.698 42.929
0.564 0.618 42.829
0.619 0.635 43.202
0.619 0.496 43.053
0.621 0.564 42.888
0.621 0.474 42.663
0.624 0.583 43.200
0.624 0.602 42.917
0.625 0.619 42.920
0.625 0.634 42.918
0.626 0.853 43.028
0.626 0.683 43.139
0.626 0.666 43.224
0.629 0.674 42.740
0.630 0.533 43.352
0.630 0.347 43.086
0.634 0.610 42.387
0.638 0.629 43.100
0.630 0.638 42.892
0.639 0.653 43.350
0.639 0.669 42.680
0.640 0.495 42.900
0.642 0.653 42.811
0.642 0.689 43.080
0.642 0.623 43.018
0.644 0.585 43.358
0.645 0.628 42.772
0.645 0.565 43.067
0.646 0.586 42.773
0.646 0.868 43.084
0.650 0.683 43.238
0.650 0.610 43.219
0.654 0.687 42.896
0.654 0.696 43.045
0.656 0.543 42.705
0.656 0.840 43.286
0.657 0.516 42.923
0.557 0.657 42.957
0.658 0.748 42.907
0.660 0.739 42.915
0.661 0.833 42.993
0.661 0.582 43.114
0.661 0.601 43.043
0.663 0.708 42.979
0.663 0.783 43.289
0.665 0.566 42.825
0.665 0.627 43.155
0.667 0.582 42.949
0.670 0.852 42.892
0.671 0.798 43.356
0.839 0.671 43.362
0.671 0.466 42.744
0.673 0.679 43.172
0.675 0.730 42.937
0.675 0.755 43.405
0.677 0.660 43.137
0.677 0.804 42.997
0.680 0.837 43.077
0.680 0.659 43.328
0.680 0.703 42.807
0.681 0.762 42.833
0.682 0.629 43.129
0.682 0.636 43.213
0.682 0.663 43.193
0.682 0.693 42.759
0.684 0.646 43.297
0.686 0.552 43.599
0.686 0.917 43.348
0.689 0.664 43.041
0.696 0.690 43.159
0.690 0.751 43.235
0.690 0.754 43.016
0.863 0.695 43.428
0.685 0.696 43.273
0.699 0.790 43.190
0.699 0.600 43.058
0.700 0.705 43.291
0.701 0.633 43.406
0.794 0.701 42.938
0.703 0.819 43.461
0.703 0.638 43.225
0.703 0.703 43.694
0.706 0.571 43.407
0.706 0.522 43.043
0.707 0.750 42.804
0.707 0.687 43.336
0.707 0.974 43.318
0.708 0.524 43.411
0.709 0.487 43.056
0.710 0.634 43.259
0.711 0.741 43.176
0.712 0.683 43.195
0.712 0.539 43.103
0.712 0.786 43.045
0.713 0.676 43.504
0.713 0.819 43.403
0.713 0.754 42.860
0.714 0.755 43.441
0.698 0.716 43.155
0.718 0.524 43.340
0.718 0.757 43.104
0.718 0.633 43.264
0.718 0.799 43.185
0.719 0.778 43.487
0.719 0.626 43.376
0.723 0.767 43.023
0.723 0.577 43.584
0.723 0.743 43.078
0.723 0.769 43.302
0.724 0.519 43.341
0.725 0.724 43.089
0.725 0.600 43.254
0.725 0.773 43.206
0.726 0.726 43.150
0.730 0.863 43.448
0.732 0.563 43.305
0.732 0.958 43.118
0.734 0.704 43.457
0.734 0.739 43.106
0.735 0.865 43.312
0.735 0.738 43.258
0.736 0.707 43.244
0.736 0.810 43.055
0.737 0.774 43.321
0.737 0.765 42.943
0.738 1.166 43.333
0.739 0.573 43.080
0.741 0.802 43.344
0.741 0.525 43.558
0.742 0.837 43.208
0.742 0.755 43.295
0.742 0.627 43.218
0.743 0.793 43.208
0.742 0.744 43.514
0.745 0.886 43.272
0.746 0.774 43.511
0.852 0.747 42.952
0.751 0.752 43.328
0.721 0.752 43.644
0.753 0.662 43.112
0.753 0.663 43.156
0.742 0.755 43.307
0.760 0.800 43.478
0.760 0.890 43.523
0.760 0.856 43.548
0.764 0.912 43.127
0.686 0.765 43.669
0.769 0.791 43.417
0.534 0.769 43.467
0.771 0.634 43.421
0.771 0.775 43.344
0.771 0.877 43.191
0.771 0.949 43.685
0.771 0.730 43.426
0.772 0.739 43.356
0.773 0.713 43.344
0.773 0.927 43.586
0.774 0.746 43.655
0.876 0.775 43.227
0.775 0.799 43.579
0.777 0.982 43.666
0.778 0.824 43.619
0.779 0.866 43.471
0.779 0.884 43.654
0.780 0.628 43.507
0.781 0.698 43.533
0.782 0.779 43.582
0.784 0.746 43.232
0.784 0.791 43.456
0.785 0.900 43.139
0.788 0.860 43.669
0.907 0.789 43.703
0.791 0.794 43.803
0.792 0.898 43.220
0.792 0.727 43.492
0.793 0.718 43.862
0.795 0.787 43.382
0.797 0.775 43.516
0.797 0.894 43.568
0.800 0.771 43.545
0.800 0.848 43.466
0.801 0.677 43.748
0.803 0.875 43.175
0.804 0.959 43.207
0.804 0.677 43.457
0.806 0.809 43.444
0.809 0.697 43.757
0.825 0.809 43.545
0.810 0.805 43.538
0.812 0.760 43.655
0.813 0.844 43.957
0.813 0.840 43.835
0.814 0.824 43.427
0.814 0.887 43.533
0.816 0.631 43.636
0.816 0.664 43.677
0.817 0.615 43.586
0.818 0.813 43.749
0.818 0.701 43.836
0.809 0.818 43.213
0.819 0.678 44.167
0.820 0.729 43.929
0.821 1.015 43.526
0.821 0.834 43.759
0.822 0.736 43.777
0.826 0.681 43.588
0.826 0.926 43.605
0.827 0.864 43.544
0.828 0.781 43.880
0.828 0.750 43.845
0.828 0.741 43.842
0.830 0.905 44.093
0.830 0.810 44.048
0.810 0.832 43.587
0.832 0.941 43.641
0.835 0.807 43.600
0.785 0.835 43.712
0.837 0.789 43.821
0.838 0.942 43.330
0.838 0.766 43.869
0.830 0.839 43.775
0.842 0.794 43.410
0.842 0.664 43.538
0.843 0.740 43.912
0.844 0.747 43.229
0.846 0.825 43.573
0.746 0.847 43.574
0.847 0.906 43.458
0.865 0.848 43.795
0.849 0.884 43.987
0.851 0.902 43.798
0.851 0.613 43.495
0.851 0.871 43.633
0.833 0.852 43.588
0.853 0.806 43.275
0.854 0.713 43.778
0.855 0.831 43.710
0.856 0.758 43.650
0.857 0.979 43.386
0.857 0.882 44.066
0.858 0.889 43.555
0.858 0.716 43.538
0.860 0.999 43.576
0.860 0.827 43.678
0.860 0.901 43.794
0.860 1.300 43.540
0.861 0.761 43.760
0.862 0.744 43.492
0.863 0.863 43.958
0.864 0.776 44.151
0.864 0.859 43.933
0.909 0.865 43.688
0.801 0.865 43.919
0.867 0.829 43.543
0.868 0.812 43.921
0.869 1.004 44.061
0.870 0.698 43.642
0.870 0.750 43.449
0.871 0.691 43.608
0.871 0.798 43.702
0.872 0.917 43.586
0.873 0.966 43.721
0.874 0.878 43.721
0.874 0.827 43.590
0.875 0.992 43.823
0.875 0.933 43.679
0.877 0.877 43.752
0.879 0.824 43.611
0.881 0.830 43.714
0.881 0.954 44.026
0.881 1.074 43.915
0.882 0.821 43.626
0.882 1.029 44.167
0.883 0.916 43.814
0.884 0.969 44.075
0.884 0.978 43.553
0.885 0.880 43.815
0.936 0.887 43.610
0.887 0.876 43.403
0.889 0.979 43.747
0.890 0.873 43.642
0.890 0.963 43.839
0.891 0.894 43.709
0.892 0.873 43.652
0.893 0.901 43.953
0.894 0.968 43.786
0.896 0.824 43.840
0.896 0.929 43.782
0.897 0.942 43.983
0.898 0.861 43.779
0.898 0.770 44.275
0.900 0.949 43.943
0.903 0.943 44.069
0.904 0.859 43.996
0.904 0.761 43.545
0.905 0.819 43.850
0.907 1.003 43.807
0.908 0.902 43.666
0.908 0.895 43.801
0.908 0.906 44.094
0.909 1.050 43.849
0.817 0.910 44.039
0.911 0.779 43.843
0.915 0.893 44.022
0.915 0.711 43.820
0.916 0.844 44.182
0.916 0.823 43.728
0.918 0.843 43.937
0.919 0.937 43.938
0.920 0.864 44.082
0.922 0.891 43.857
0.924 0.807 43.642
0.925 1.132 43.778
0.925 0.850 44.009
0.925 0.911 44.077
0.925 0.885 43.965
0.926 0.867 44.202
0.926 1.048 43.847
0.926 0.881 43.820
0.927 0.810 44.336
0.927 0.759 43.949
0.931 0.737 43.852
0.931 0.949 43.914
0.932 1.026 44.096
0.933 1.089 44.321
0.934 1.015 44.012
0.934 1.012 44.010
0.934 1.075 44.141
0.935 0.868 43.964
1.044 0.937 44.031
0.937 0.819 44.246
0.939 0.805 44.088
0.942 0.900 43.869
0.944 0.914 44.185
0.946 0.897 43.889
0.947 0.832 44.351
0.948 0.923 44.101
0.948 0.893 43.896
0.949 0.990 43.972
0.949 0.880 44.171
0.949 1.020 44.360
1.065 0.950 44.293
0.951 1.055 43.991
0.951 0.914 43.988
0.953 0.948 43.800
0.954 1.153 44.239
0.954 1.027 43.994
1.034 0.955 44.163
0.956 0.888 43.924
0.956 1.056 44.192
0.957 1.074 43.926
0.957 0.867 44.041
0.918 0.958 44.267
0.959 0.916 43.710
0.960 0.904 43.855
0.961 0.997 44.100
0.962 1.071 44.048
0.963 0.957 44.271
0.963 0.923 43.801
0.967 1.015 43.922
1.023 0.967 43.884
0.968 1.112 43.972
0.968 1.241 43.623
0.968 1.078 43.934
0.968 0.822 44.198
0.970 0.843 44.005
0.971 0.920 44.127
0.971 1.066 44.005
0.973 0.952 43.755
0.973 0.805 44.186
0.973 0.853 43.834
0.973 0.976 44.082
0.975 0.921 43.693
0.975 0.724 44.389
0.975 0.965 44.136
0.978 0.938 43.671
0.979 1.218 43.912
0.979 1.012 44.172
0.980 0.837 44.040
0.981 1.028 44.454
0.981 0.867 44.056
0.984 1.039 44.267
0.984 0.925 44.455
0.986 0.950 44.008
0.987 1.043 44.239
0.988 1.183 44.659
0.989 1.293 44.196
0.990 1.045 44.139
0.992 1.030 44.516
0.992 1.111 44.430
0.993 1.052 44.217
0.994 1.048 43.764
0.994 0.992 44.155
0.996 1.044 44.100
0.996 0.894 44.205
0.999 1.016 44.331
0.999 1.116 44.027
0.999 1.065 44.031
