# Error in mu 0.20
# z   z2   mu
0.280 0.326 40.688
0.280 0.388 41.125
0.280 0.176 40.717
0.281 0.180 40.576
0.281 0.247 40.904
0.283 0.211 41.078
0.285 0.303 40.825
0.399 0.285 40.987
0.286 0.221 41.126
0.287 0.075 40.912
0.291 0.276 40.571
0.291 0.368 41.139
0.291 0.255 40.809
0.273 0.292 40.675
0.108 0.292 40.764
0.294 0.186 40.857
0.295 0.249 40.800
0.298 0.559 41.339
0.298 0.284 41.073
0.418 0.298 40.938
0.399 0.301 41.240
0.308 0.310 41.100
0.308 0.208 41.006
0.308 0.295 41.299
0.414 0.308 41.233
0.309 0.405 40.907
0.311 0.190 40.925
0.312 0.585 41.088
0.313 0.286 40.780
0.314 0.469 41.283
0.184 0.316 41.296
0.317 0.259 41.028
0.356 0.317 41.119
0.317 0.268 40.892
0.319 0.372 41.368
0.320 0.289 41.514
0.320 0.303 41.069
0.320 0.393 41.248
0.320 0.325 41.127
0.321 0.369 41.334
0.321 0.245 41.062
0.177 0.321 41.269
0.322 0.192 40.867
0.323 0.265 41.284
0.324 0.276 41.534
0.325 0.375 41.115
0.327 0.431 41.092
0.331 0.330 41.276
0.334 0.311 41.279
0.337 0.293 41.420
0.338 0.299 41.423
0.339 0.323 41.227
0.339 0.324 41.291
0.340 0.333 41.068
0.340 0.255 41.313
0.341 0.444 41.303
0.342 0.310 41.132
0.343 0.436 41.422
0.343 0.295 41.770
0.344 0.310 41.499
0.345 0.464 41.417
0.345 0.361 41.614
0.346 0.421 41.729
0.346 0.172 41.426
0.348 0.456 41.085
0.348 0.443 41.593
0.348 0.239 41.557
0.349 0.332 41.298
0.351 0.202 41.476
0.352 0.504 41.631
0.352 0.474 41.726
0.352 0.450 41.337
0.352 0.510 41.459
0.355 0.228 41.093
0.355 0.414 41.285
0.417 0.355 41.427
0.358 0.356 41.473
0.359 0.517 41.202
0.359 0.478 41.332
0.359 0.289 41.857
0.360 0.246 41.464
0.422 0.360 41.326
0.363 0.591 41.449
0.363 0.365 41.301
0.365 0.309 41.636
0.365 0.297 41.385
0.368 0.320 41.181
0.368 0.371 41.454
0.369 0.400 41.507
0.370 0.470 41.401
0.372 0.276 41.348
0.373 0.377 41.637
0.374 0.320 41.649
0.376 0.357 41.732
0.457 0.376 42.080
0.377 0.357 41.714
0.377 0.361 41.664
0.378 0.514 41.619
0.331 0.378 41.780
0.378 0.521 41.942
0.380 0.252 41.513
0.381 0.480 42.052
0.384 0.341 41.718
0.385 0.491 41.666
0.386 0.350 41.650
0.386 0.372 41.518
0.387 0.447 41.824
0.257 0.389 41.467
0.390 0.360 41.873
0.391 0.167 41.984
0.392 0.345 41.672
0.392 0.383 41.191
0.393 0.494 41.966
0.394 0.272 41.566
0.394 0.494 41.286
0.394 0.523 41.598
0.395 0.433 41.773
0.396 0.562 41.820
0.396 0.389 41.397
0.397 0.385 41.729
0.398 0.364 41.905
0.405 0.398 41.978
0.399 0.314 41.456
0.399 0.454 41.631
0.400 0.409 41.321
0.400 0.365 41.752
0.402 0.431 42.053
0.402 0.154 41.587
0.404 0.360 41.752
0.404 0.371 42.292
0.405 0.512 41.916
0.407 0.511 41.862
0.408 0.275 41.762
0.408 0.410 42.120
0.409 0.407 41.625
0.409 0.444 42.004
0.410 0.573 41.811
0.410 0.306 41.656
0.410 0.620 42.072
0.410 0.526 41.859
0.410 0.510 41.641
0.411 0.474 41.607
0.506 0.411 41.716
0.411 0.458 41.685
0.412 0.317 41.814
0.412 0.501 41.911
0.412 0.416 41.631
0.359 0.415 41.826
0.415 0.358 41.868
0.417 0.416 41.912
0.417 0.414 41.958
0.310 0.418 41.961
0.418 0.403 41.720
0.419 0.415 41.732
0.421 0.507 41.830
0.422 0.350 41.908
0.422 0.654 42.104
0.504 0.424 42.111
0.424 0.328 41.907
0.425 0.415 42.126
0.425 0.367 41.541
0.426 0.360 42.057
0.426 0.471 41.546
0.427 0.410 41.638
0.427 0.126 42.075
0.427 0.492 41.930
0.428 0.496 41.748
0.428 0.438 42.026
0.428 0.265 41.862
0.429 0.326 41.456
0.429 0.429 41.727
0.433 0.356 42.087
0.437 0.564 42.044
0.437 0.530 42.321
0.438 0.501 42.024
0.439 0.336 41.850
0.440 0.369 42.142
0.440 0.447 42.013
0.442 0.420 41.979
0.443 0.397 42.242
0.444 0.503 42.195
0.445 0.445 41.901
0.445 0.525 42.278
0.448 0.367 41.822
0.448 0.609 42.293
0.449 0.507 42.022
0.451 0.333 42.050
0.451 0.431 42.152
0.453 0.395 41.925
0.455 0.384 42.184
0.456 0.498 42.184
0.459 0.465 41.841
0.460 0.231 42.179
0.532 0.466 42.303
0.466 0.413 42.131
0.467 0.461 41.925
0.468 0.420 41.456
0.469 0.261 41.965
0.470 0.628 42.266
0.470 0.627 42.044
0.472 0.435 42.149
0.472 0.559 42.489
0.472 0.477 41.896
0.630 0.474 42.073
0.476 0.353 42.089
0.476 0.299 41.837
0.476 0.484 42.429
0.476 0.495 42.314
0.476 0.387 42.401
0.477 0.582 42.332
0.478 0.368 42.448
0.478 0.406 42.320
0.482 0.673 42.083
0.484 0.493 42.139
0.484 0.437 42.605
0.485 0.430 42.137
0.485 0.438 41.881
0.485 0.611 42.216
0.486 0.534 42.047
0.486 0.629 42.188
0.487 0.429 42.483
0.490 0.550 42.158
0.492 0.299 42.475
0.494 0.553 42.627
0.494 0.506 42.418
0.379 0.495 42.452
0.498 0.424 42.480
0.499 0.320 42.138
0.500 0.436 42.430
0.500 0.504 42.241
0.500 0.478 42.376
0.503 0.507 42.534
0.503 0.469 42.110
0.505 0.683 42.265
0.508 0.298 42.551
0.508 0.267 42.015
0.483 0.510 42.235
0.510 0.530 42.430
0.512 0.342 42.786
0.513 0.596 42.608
0.515 0.419 42.288
0.515 0.499 42.252
0.518 0.593 42.423
0.520 0.322 42.288
0.520 0.579 42.207
0.462 0.521 42.746
0.456 0.522 42.479
0.522 0.567 42.660
0.523 0.573 42.525
0.524 0.417 42.508
0.637 0.525 42.565
0.525 0.429 42.406
0.527 0.475 42.602
0.529 0.449 42.808
0.529 0.692 42.310
0.529 0.532 42.517
0.530 0.641 42.342
0.531 0.392 42.338
0.753 0.531 42.446
0.531 0.632 42.524
0.531 0.627 42.437
0.534 0.631 42.637
0.535 0.494 42.394
0.536 0.589 42.662
0.536 0.517 42.272
0.539 0.817 42.591
0.540 0.667 42.677
0.540 0.698 42.093
0.540 0.556 42.505
0.542 0.654 42.485
0.543 0.383 42.307
0.543 0.526 42.437
0.543 0.398 42.604
0.544 0.582 42.725
0.546 0.791 42.409
0.786 0.547 42.404
0.547 0.679 42.752
0.551 0.430 42.671
0.552 0.551 42.622
0.554 0.568 42.500
0.555 0.444 42.393
0.566 0.558 42.786
0.560 0.335 42.559
0.419 0.564 42.678
0.564 0.755 42.732
0.565 0.504 42.881
0.582 0.566 42.658
0.568 0.510 42.679
0.569 0.593 42.759
0.571 0.589 42.586
0.572 0.461 42.515
0.573 0.630 42.602
0.573 0.687 42.632
0.574 0.787 42.823
0.574 0.554 42.272
0.575 0.829 42.439
0.575 0.652 43.063
0.578 0.454 42.805
0.578 0.524 42.662
0.579 0.638 42.357
0.579 0.615 42.797
0.583 0.655 42.397
0.584 0.743 42.472
0.587 0.531 43.026
0.587 0.565 42.302
0.588 0.459 42.981
0.758 0.589 42.978
0.591 0.549 42.778
0.592 0.516 42.957
0.593 0.601 42.548
0.647 0.596 42.619
0.597 0.568 42.710
0.598 0.635 43.032
0.598 0.557 43.006
0.599 0.547 43.078
0.600 0.621 42.815
0.602 0.520 42.900
0.602 0.466 42.957
0.604 0.550 42.862
0.604 0.449 42.605
0.607 0.478 43.070
0.610 0.630 42.825
0.611 0.373 42.570
0.613 0.610 42.812
0.613 0.632 43.057
0.613 0.562 43.066
0.617 0.534 42.932
0.618 0.632 42.603
0.618 0.721 42.709
0.593 0.619 43.071
0.662 0.620 42.432
0.620 0.662 42.887
0.622 0.745 42.881
0.622 0.671 42.845
0.623 0.630 43.189
0.623 0.629 43.012
0.625 0.727 42.928
0.626 0.608 42.997
0.627 0.659 42.702
0.627 0.620 42.554
0.629 0.543 43.076
0.710 0.630 42.862
0.631 0.441 43.053
0.631 0.755 43.048
0.522 0.634 42.972
0.634 0.666 42.995
0.635 0.700 42.978
0.636 0.587 43.139
0.637 0.571 42.826
0.638 0.616 42.991
0.639 0.572 42.838
0.641 0.570 42.953
0.642 0.664 43.424
0.643 0.725 43.018
0.643 0.771 43.024
0.643 0.761 42.801
0.644 0.533 42.982
0.645 0.641 43.071
0.645 0.819 42.873
0.645 0.730 42.942
0.652 0.628 43.310
0.653 0.681 42.585
0.654 0.658 43.148
0.654 0.582 43.121
0.655 0.569 43.081
0.657 0.695 43.258
0.660 0.534 43.577
0.661 0.676 42.790
0.628 0.661 43.111
0.662 0.681 43.035
0.662 0.551 43.187
0.665 0.492 42.835
0.780 0.666 43.211
0.666 0.643 42.713
0.666 0.588 43.310
0.666 0.647 42.896
0.667 0.672 43.322
0.668 0.713 43.257
0.669 0.553 43.397
0.670 0.873 43.162
0.673 0.836 42.676
0.674 0.615 42.961
0.674 0.459 42.770
0.636 0.675 43.077
0.783 0.675 43.008
0.677 0.788 43.460
0.677 0.712 43.080
0.677 0.741 42.842
0.678 0.630 43.057
0.682 0.717 42.666
0.683 0.628 43.170
0.683 0.734 43.200
0.684 0.747 43.110
0.684 0.784 43.062
0.685 0.560 42.966
0.685 0.492 43.013
0.685 0.872 43.167
0.691 0.525 43.399
0.691 0.592 42.945
0.692 0.583 43.234
0.692 0.680 43.181
0.661 0.694 43.106
0.695 0.571 42.746
0.695 0.695 43.405
0.696 0.612 43.141
0.698 0.726 43.413
0.698 0.699 42.938
0.699 0.684 43.006
0.699 0.785 43.520
0.701 0.460 43.341
0.704 0.770 43.449
0.704 0.595 43.114
0.705 0.807 43.476
0.707 0.612 43.141
0.708 0.758 43.422
0.709 0.761 43.122
0.709 0.667 43.434
0.712 0.792 43.388
0.712 0.775 43.198
0.713 0.753 43.038
0.714 0.723 43.310
0.715 0.631 43.421
0.715 0.674 43.167
0.716 0.511 43.405
0.759 0.716 43.455
0.717 0.756 43.206
0.719 0.706 43.509
0.722 0.746 43.272
0.722 0.713 43.225
0.723 0.712 43.064
0.723 0.890 42.939
0.723 0.628 43.311
0.723 0.674 43.080
0.724 0.685 43.426
0.725 0.704 43.002
0.725 0.647 43.036
0.726 0.784 43.512
0.727 0.519 43.214
0.727 0.794 43.345
0.727 0.841 43.288
0.729 0.549 43.274
0.729 0.820 43.115
0.662 0.730 43.311
0.732 0.599 43.195
0.732 0.597 43.483
0.832 0.735 43.490
0.867 0.736 43.317
0.736 0.756 43.373
0.737 0.646 43.413
0.869 0.738 43.256
0.739 0.741 43.046
0.739 0.957 43.468
0.740 0.798 43.768
0.745 0.693 43.211
0.746 0.719 43.023
0.839 0.747 43.623
0.747 0.810 43.724
0.747 0.649 43.742
0.748 0.810 43.174
0.750 0.851 43.314
0.751 0.849 43.636
0.752 0.714 43.448
0.753 0.776 43.199
0.754 0.686 43.522
0.755 0.778 43.425
0.755 0.757 43.882
0.857 0.755 43.424
0.757 0.725 43.386
0.757 0.723 43.381
0.757 0.667 43.330
0.757 0.648 43.407
0.759 0.630 43.414
0.759 0.584 43.424
0.759 0.798 43.155
0.760 0.742 43.237
0.761 0.737 43.453
0.762 0.638 43.428
0.764 0.693 42.832
0.774 0.765 43.734
0.767 0.681 43.275
0.769 0.669 43.108
0.769 0.827 43.260
0.770 0.721 43.792
0.772 0.844 43.366
0.774 0.754 43.446
0.775 0.688 43.625
0.848 0.776 43.499
0.777 0.781 43.302
0.777 0.856 43.556
0.781 0.879 43.338
0.781 0.750 43.352
0.783 0.804 43.423
0.783 0.679 43.290
0.786 0.732 43.399
0.786 0.861 43.556
0.787 0.943 43.319
0.788 0.913 43.312
0.788 0.998 43.263
0.789 0.829 43.276
0.789 0.733 43.549
0.791 0.923 43.387
0.792 0.672 43.461
0.793 0.837 43.584
0.793 0.833 43.481
0.793 0.882 43.576
0.793 0.778 43.446
0.794 0.981 43.277
0.796 0.849 43.620
0.797 0.734 43.434
0.797 0.662 42.928
0.799 0.867 43.486
0.801 0.845 43.467
0.822 0.804 43.502
0.805 0.836 43.561
0.939 0.806 43.321
0.806 0.908 43.413
0.807 0.753 43.440
0.807 0.843 43.934
0.808 0.641 43.356
0.809 0.863 43.908
0.810 0.800 43.516
0.812 0.874 43.767
0.813 0.886 43.534
0.813 0.802 43.835
0.814 0.750 43.637
0.814 0.642 43.508
0.814 0.718 43.849
0.816 0.909 43.869
0.820 0.829 43.504
0.820 0.679 43.990
0.821 0.928 43.998
0.822 0.973 43.681
0.823 0.867 44.174
0.825 0.832 43.959
0.828 0.777 43.623
0.828 0.671 43.854
0.829 0.795 44.027
0.830 0.824 43.740
0.830 0.785 43.506
0.831 0.793 43.784
0.831 0.831 43.627
0.832 0.924 43.634
0.832 0.889 43.636
0.832 0.800 43.717
0.835 0.896 43.649
0.835 0.666 44.044
0.835 0.872 43.442
0.837 0.876 43.624
0.837 0.645 43.802
0.838 0.924 43.673
0.839 0.926 43.504
0.840 0.834 43.590
0.841 0.943 43.804
0.842 0.894 43.768
0.842 0.982 43.488
0.842 0.840 43.784
0.843 0.819 43.446
0.843 0.898 43.495
0.844 0.878 43.484
0.846 0.888 43.814
0.847 0.708 43.504
0.848 0.897 43.908
0.891 0.849 43.711
0.849 0.749 43.625
0.850 0.795 43.803
0.851 0.960 44.017
0.854 0.732 44.063
0.857 0.779 43.548
0.858 0.915 43.955
0.859 0.851 43.542
0.860 0.854 44.009
0.860 0.658 43.906
0.860 0.958 43.694
0.861 0.938 43.331
0.968 0.863 43.443
0.887 0.863 43.846
0.864 0.905 43.368
0.865 0.754 43.689
0.865 0.794 43.996
0.867 0.680 43.793
0.869 0.908 43.660
0.871 0.938 43.744
0.705 0.872 43.701
0.874 0.928 43.868
0.874 1.004 43.689
0.875 0.843 43.317
0.876 0.916 43.704
0.914 0.876 44.027
0.877 0.923 43.460
0.878 0.877 43.794
0.878 0.934 43.984
0.882 0.965 44.200
0.882 0.913 43.982
0.884 0.749 43.558
0.885 0.742 43.846
0.887 0.818 43.968
0.887 0.841 43.627
0.888 0.870 43.892
0.888 0.761 44.123
0.889 0.772 44.090
0.889 1.024 43.835
0.890 0.843 43.918
0.891 0.796 43.942
0.892 0.826 43.767
0.892 0.931 43.662
0.892 0.880 43.953
0.893 0.850 44.086
0.893 0.954 43.816
0.895 0.902 43.838
0.896 1.069 43.894
0.896 0.835 44.179
0.897 0.981 43.905
0.897 1.136 43.882
0.897 0.880 43.633
0.898 0.930 43.701
0.899 0.896 43.746
0.985 0.901 43.741
0.901 0.858 43.841
0.907 0.922 43.768
0.908 0.932 43.833
0.911 0.764 44.206
0.912 0.936 43.829
0.915 0.964 43.830
0.915 0.959 44.100
0.855 0.916 43.766
0.916 1.066 44.075
0.917 0.876 43.966
0.918 0.837 43.764
0.919 0.944 43.905
0.919 0.961 43.849
0.920 0.946 43.901
0.869 0.922 44.307
0.923 0.989 43.817
0.923 0.861 43.761
0.924 0.991 43.663
0.924 0.945 43.881
0.925 0.881 44.034
0.926 1.091 44.058
0.927 0.963 43.960
0.928 1.066 44.171
0.930 0.956 44.191
0.931 0.969 43.834
0.931 0.934 43.875
0.934 0.864 44.077
0.937 1.042 44.032
0.937 0.978 43.795
0.937 1.045 43.687
0.937 1.127 44.105
0.938 0.876 44.007
0.939 0.942 43.860
0.856 0.939 43.455
0.940 0.948 44.073
0.940 1.034 43.806
0.940 0.980 43.893
0.860 0.943 43.941
0.944 0.942 43.999
0.945 0.943 44.065
0.946 1.040 44.300
0.946 1.032 44.001
0.946 0.925 44.149
0.947 0.916 44.204
0.948 0.908 43.980
0.949 0.719 44.132
0.949 1.108 43.763
0.949 1.007 44.312
0.991 0.950 44.249
0.942 0.950 44.061
0.950 0.933 43.888
0.951 1.019 44.054
0.953 0.748 44.085
0.953 0.941 44.148
0.954 1.006 44.027
0.954 0.909 44.074
0.954 0.974 44.040
0.954 1.117 43.704
0.954 0.997 43.892
0.955 0.980 44.417
0.955 0.928 43.888
0.956 1.062 44.108
0.957 0.869 44.016
0.958 0.769 44.187
0.960 0.951 43.972
0.961 0.944 44.118
0.962 1.047 44.321
0.963 0.936 44.187
0.963 1.073 44.212
0.965 0.903 44.021
0.966 0.887 43.841
0.966 0.964 44.403
0.966 0.985 44.151
0.968 0.961 43.930
0.968 0.953 43.872
0.968 1.005 44.135
0.969 0.828 43.964
0.970 0.797 44.338
0.970 1.086 43.965
0.764 0.972 44.160
0.973 1.145 43.767
0.974 1.024 43.827
0.974 0.999 43.905
0.974 1.063 44.080
0.975 0.854 44.396
0.975 0.907 44.426
0.977 1.033 44.208
0.978 1.224 43.917
0.980 0.970 43.932
0.985 1.025 44.089
0.986 1.044 44.278
0.988 1.023 44.345
0.988 1.007 44.291
0.989 1.052 44.059
0.989 1.095 43.902
0.990 1.069 44.146
0.990 0.923 44.250
0.990 1.008 44.130
0.971 0.991 44.056
0.993 0.891 44.114
0.996 0.954 44.374
0.996 1.053 44.321
0.997 1.020 43.639
0.998 0.898 44.128
0.999 1.012 44.009
1.000 0.904 44.082
