# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.303 0.283 40.993
0.303 0.237 41.251
0.305 0.427 41.089
0.307 0.364 41.278
0.307 0.349 40.794
0.374 0.309 41.363
0.309 0.251 41.043
0.311 0.099 41.146
0.312 0.259 41.082
0.314 0.383 41.039
0.315 0.407 41.535
0.315 0.215 41.472
0.317 0.371 41.178
0.347 0.318 41.453
0.320 0.200 40.973
0.321 0.125 41.287
0.321 0.015 41.226
0.322 0.203 41.157
0.322 0.252 41.161
0.323 0.147 41.168
0.323 0.345 41.033
0.325 0.437 41.150
0.326 0.358 41.239
0.326 0.216 41.440
0.328 0.344 41.337
0.328 0.440 41.038
0.329 0.437 40.980
0.329 0.219 40.978
0.329 0.260 41.283
0.329 0.114 41.061
0.326 0.329 41.062
0.330 0.380 41.443
0.330 0.436 41.406
0.330 0.323 40.931
0.331 0.536 40.980
0.331 0.365 41.626
0.331 0.404 41.277
0.333 0.448 41.192
0.334 0.263 41.333
0.337 0.502 41.466
0.337 0.252 41.344
0.340 0.424 41.124
0.340 0.351 41.245
0.342 0.436 41.431
0.343 0.415 41.763
0.344 0.419 41.143
0.344 0.201 41.518
0.344 0.291 40.957
0.346 0.385 41.378
0.347 0.282 41.132
0.348 0.350 41.469
0.348 0.317 41.335
0.349 0.414 41.523
0.350 0.498 41.676
0.350 0.428 41.494
0.352 0.482 41.175
0.353 0.210 41.364
0.354 0.400 41.258
0.355 0.384 41.157
0.125 0.358 41.451
0.358 0.261 41.703
0.360 0.390 41.340
0.360 0.339 41.470
0.361 0.130 41.591
0.361 0.337 41.659
0.361 0.279 41.626
0.362 0.381 41.337
0.362 0.584 41.379
0.363 0.451 41.690
0.364 0.315 41.444
0.365 0.404 41.493
0.365 0.369 41.107
0.366 0.196 41.725
0.367 0.377 41.276
0.368 0.202 41.409
0.371 0.411 41.427
0.372 0.363 41.525
0.373 0.315 41.517
0.432 0.373 41.639
0.375 0.374 41.458
0.376 0.353 41.819
0.376 0.353 41.693
0.376 0.277 41.765
0.377 0.464 41.697
0.378 0.403 41.485
0.381 0.296 41.566
0.383 0.256 41.731
0.384 0.580 41.635
0.384 0.155 41.354
0.385 0.418 41.793
0.388 0.331 41.767
0.388 0.435 41.841
0.494 0.389 41.741
0.390 0.410 41.724
0.390 0.345 41.798
0.438 0.390 41.286
0.393 0.576 41.697
0.394 0.348 41.671
0.394 0.519 41.551
0.394 0.353 41.701
0.398 0.236 41.998
0.400 0.522 41.720
0.454 0.400 41.560
0.400 0.426 41.892
0.403 0.449 41.385
0.403 0.401 41.855
0.405 0.206 41.758
0.406 0.405 42.052
0.407 0.381 41.761
0.407 0.448 41.903
0.408 0.329 41.786
0.446 0.410 41.993
0.411 0.572 41.670
0.412 0.406 41.960
0.412 0.618 42.166
0.412 0.391 41.720
0.413 0.539 41.706
0.415 0.313 41.779
0.415 0.241 42.226
0.415 0.343 41.637
0.421 0.238 41.943
0.422 0.514 41.877
0.423 0.412 41.970
0.423 0.385 41.816
0.425 0.469 41.793
0.427 0.302 41.982
0.428 0.434 41.989
0.430 0.516 42.006
0.430 0.381 41.931
0.431 0.343 41.800
0.431 0.312 41.942
0.432 0.501 41.649
0.432 0.455 42.429
0.433 0.267 41.757
0.437 0.470 42.180
0.437 0.658 41.946
0.437 0.477 41.822
0.438 0.486 41.906
0.438 0.651 42.014
0.440 0.366 42.014
0.440 0.310 41.534
0.440 0.352 42.088
0.441 0.372 42.250
0.444 0.303 41.632
0.464 0.444 41.784
0.446 0.263 42.239
0.446 0.542 42.314
0.446 0.553 42.172
0.448 0.588 41.949
0.448 0.432 42.025
0.450 0.449 41.701
0.449 0.484 41.903
0.450 0.475 41.741
0.452 0.471 42.111
0.453 0.539 41.799
0.454 0.363 42.333
0.456 0.199 42.257
0.457 0.500 42.287
0.458 0.446 42.055
0.458 0.398 42.058
0.459 0.448 41.885
0.459 0.332 41.959
0.465 0.692 41.691
0.465 0.374 42.227
0.465 0.485 42.267
0.466 0.523 41.850
0.470 0.418 42.046
0.471 0.659 42.114
0.472 0.448 42.317
0.474 0.383 42.225
0.476 0.489 42.223
0.477 0.341 42.383
0.477 0.473 42.489
0.481 0.616 42.013
0.481 0.498 42.338
0.481 0.497 42.003
0.484 0.416 41.887
0.486 0.335 41.868
0.487 0.631 42.108
0.347 0.488 42.052
0.488 0.399 42.297
0.488 0.428 42.205
0.489 0.559 42.243
0.491 0.356 42.360
0.491 0.474 42.335
0.492 0.527 42.261
0.493 0.716 41.897
0.495 0.466 42.699
0.495 0.364 42.265
0.495 0.671 42.315
0.496 0.130 42.188
0.497 0.585 42.447
0.497 0.546 42.544
0.501 0.418 42.527
0.501 0.541 42.298
0.502 0.457 42.394
0.502 0.351 42.316
0.502 0.454 42.442
0.502 0.394 42.341
0.503 0.388 42.421
0.504 0.397 42.226
0.506 0.549 41.904
0.507 0.475 42.542
0.594 0.507 42.617
0.508 0.467 42.322
0.393 0.510 41.976
0.510 0.393 42.435
0.512 0.434 42.962
0.512 0.388 42.314
0.513 0.560 42.348
0.514 0.573 42.107
0.514 0.663 42.330
0.515 0.488 42.386
0.520 0.621 42.574
0.520 0.491 42.255
0.520 0.564 42.408
0.521 0.379 42.389
0.521 0.619 42.374
0.521 0.515 42.316
0.521 0.469 42.542
0.424 0.521 42.570
0.523 0.459 42.530
0.523 0.624 42.732
0.535 0.523 42.702
0.528 0.652 42.287
0.528 0.486 42.316
0.528 0.467 42.346
0.541 0.531 42.652
0.531 0.536 42.649
0.532 0.502 42.582
0.532 0.357 42.829
0.533 0.406 42.759
0.535 0.543 42.725
0.536 0.418 42.285
0.538 0.660 42.945
0.609 0.538 42.683
0.701 0.539 42.393
0.539 0.671 42.347
0.540 0.285 42.315
0.544 0.571 42.908
0.546 0.554 42.839
0.552 0.548 42.737
0.550 0.701 42.595
0.550 0.627 42.704
0.551 0.484 42.620
0.552 0.717 42.382
0.552 0.648 42.903
0.553 0.639 42.882
0.553 0.560 42.646
0.554 0.576 42.712
0.639 0.556 42.437
0.560 0.512 42.656
0.560 0.728 42.312
0.571 0.561 42.417
0.561 0.573 42.727
0.562 0.702 42.821
0.564 0.539 42.500
0.564 0.449 42.746
0.567 0.805 42.553
0.567 0.426 42.837
0.567 0.400 42.755
0.567 0.576 42.616
0.568 0.608 42.547
0.568 0.741 42.874
0.569 0.642 42.249
0.569 0.403 42.505
0.572 0.661 42.920
0.573 0.588 42.482
0.574 0.652 42.548
0.574 0.432 42.586
0.575 0.614 42.758
0.575 0.418 42.800
0.575 0.465 42.490
0.575 0.621 42.559
0.577 0.698 42.473
0.577 0.506 42.600
0.578 0.604 42.571
0.581 0.469 42.293
0.581 0.554 43.252
0.582 0.550 42.821
0.582 0.601 42.818
0.583 0.614 42.600
0.585 0.413 42.903
0.587 0.646 42.446
0.588 0.544 42.833
0.589 0.631 42.896
0.592 0.440 42.852
0.593 0.540 43.151
0.773 0.594 42.561
0.595 0.736 42.616
0.595 0.608 42.786
0.596 0.452 42.754
0.597 0.555 42.954
0.598 0.654 42.675
0.598 0.626 42.570
0.599 0.667 42.593
0.600 0.587 43.092
0.602 0.471 42.806
0.602 0.569 42.950
0.604 0.580 42.616
0.605 0.647 43.070
0.607 0.608 42.973
0.607 0.676 42.601
0.609 0.497 42.739
0.610 0.467 42.648
0.611 0.575 42.847
0.611 0.562 43.328
0.612 0.752 43.274
0.612 0.502 42.553
0.626 0.613 42.678
0.615 0.701 43.086
0.615 0.550 43.017
0.617 0.399 43.172
0.618 0.595 42.657
0.619 0.658 42.862
0.620 0.669 42.927
0.621 0.535 42.904
0.624 0.776 42.547
0.625 0.729 43.386
0.626 0.785 42.729
0.627 0.643 42.940
0.627 0.626 42.965
0.629 0.592 42.696
0.629 0.636 43.087
0.547 0.631 43.112
0.631 0.471 43.055
0.632 0.537 42.850
0.632 0.637 43.156
0.633 0.598 42.705
0.634 0.726 43.068
0.634 0.590 43.134
0.635 0.658 43.064
0.635 0.631 42.818
0.636 0.470 42.945
0.636 0.508 43.093
0.639 0.728 43.180
0.639 0.529 42.822
0.639 0.791 42.604
0.642 0.670 42.711
0.642 0.681 43.036
0.644 0.813 43.188
0.645 0.771 43.036
0.645 0.758 43.110
0.645 0.577 42.799
0.646 0.578 42.685
0.584 0.649 43.132
0.652 0.672 43.096
0.652 0.552 43.149
0.653 0.511 42.331
0.654 0.566 42.692
0.654 0.547 43.086
0.657 0.653 43.240
0.658 0.613 43.113
0.492 0.659 42.836
0.659 0.721 43.297
0.660 0.760 43.198
0.660 0.743 43.170
0.662 0.545 43.078
0.664 0.655 42.969
0.666 0.688 42.887
0.666 0.695 42.906
0.667 0.594 43.100
0.616 0.667 42.864
0.668 0.723 43.059
0.669 0.647 42.811
0.669 0.535 43.477
0.670 0.488 43.228
0.670 0.716 42.971
0.670 0.644 42.968
0.671 0.775 43.209
0.675 0.655 43.129
0.675 0.789 42.951
0.676 0.490 43.182
0.677 0.777 43.113
0.678 0.743 43.184
0.678 0.593 43.095
0.678 0.584 43.005
0.679 0.845 43.042
0.679 0.486 43.123
0.679 0.883 43.167
0.680 0.708 43.262
0.680 0.780 43.059
0.680 0.456 43.253
0.682 0.603 42.963
0.682 0.760 43.012
0.682 0.908 43.551
0.602 0.683 43.144
0.684 0.694 43.101
0.684 0.627 43.382
0.686 0.901 42.884
0.686 0.678 43.105
0.688 0.862 43.135
0.688 0.854 43.241
0.691 0.785 43.235
0.691 0.743 43.209
0.717 0.692 43.272
0.659 0.693 43.348
0.693 0.895 43.171
0.694 0.658 43.313
0.694 0.832 43.225
0.695 0.718 43.409
0.695 0.680 43.334
0.695 0.672 43.436
0.696 0.702 43.420
0.697 0.598 43.642
0.697 0.753 43.427
0.698 0.612 43.320
0.699 0.730 43.223
0.699 0.471 43.232
0.699 0.859 43.214
0.701 0.426 43.326
0.703 0.811 43.014
0.705 0.681 43.060
0.633 0.705 43.421
0.705 0.689 43.232
0.706 0.531 43.162
0.710 0.707 43.084
0.714 0.752 43.292
0.715 0.695 43.456
0.716 0.648 43.093
0.716 0.724 43.129
0.716 0.765 43.709
0.717 0.700 42.937
0.718 0.698 43.344
0.721 0.515 43.522
0.722 0.764 43.733
0.722 0.718 43.410
0.801 0.723 43.357
0.724 0.685 43.517
0.726 0.757 43.577
0.727 0.961 43.424
0.727 0.564 43.344
0.729 0.618 43.580
0.729 0.743 43.606
0.736 0.757 43.141
0.737 0.779 43.490
0.740 0.760 43.552
0.740 0.687 43.643
0.741 0.696 43.253
0.742 0.708 43.708
0.742 0.690 43.110
0.743 0.770 43.568
0.745 0.839 43.336
0.746 0.800 43.359
0.685 0.746 42.968
0.747 0.791 43.275
0.748 0.726 43.428
0.748 0.838 43.297
0.748 0.615 43.511
0.877 0.749 43.278
0.749 0.721 43.484
0.750 0.800 43.457
0.750 0.709 43.529
0.750 0.751 43.257
0.751 0.752 43.340
0.751 0.581 43.594
0.752 0.614 43.251
0.768 0.754 43.430
0.756 0.638 43.746
0.757 0.792 43.197
0.758 0.768 43.859
0.761 0.733 43.395
0.761 0.758 43.170
0.762 0.776 43.649
0.783 0.762 43.139
0.762 0.887 43.134
0.762 0.851 43.509
0.764 0.708 42.947
0.764 0.949 43.384
0.859 0.765 43.246
0.766 0.729 43.385
0.766 0.899 43.185
0.767 0.754 43.758
0.767 0.696 43.501
0.769 0.711 43.304
0.769 0.770 43.176
0.769 0.616 43.500
0.770 0.797 43.368
0.771 0.882 43.492
0.892 0.772 43.652
0.773 0.731 43.528
0.774 0.934 43.100
0.776 0.714 43.688
0.777 0.812 43.232
0.778 0.789 43.360
0.779 0.677 43.527
0.782 0.716 43.523
0.782 0.584 43.472
0.782 0.776 43.428
0.783 0.873 43.419
0.786 0.777 43.857
0.786 0.723 43.504
0.787 0.750 43.188
0.787 0.816 43.209
0.789 0.777 43.225
0.789 0.857 43.439
0.789 0.728 43.168
0.790 0.650 43.809
0.791 0.880 43.556
0.791 0.574 43.190
0.792 0.829 43.673
0.792 0.781 43.162
0.792 0.862 43.516
0.794 0.602 43.363
0.794 0.604 43.577
0.794 0.835 43.570
0.796 0.897 43.328
0.796 0.790 43.703
0.798 0.842 43.481
0.799 0.789 43.526
0.800 0.895 43.589
0.802 0.820 43.576
0.804 0.879 43.643
0.805 0.833 43.769
0.806 0.770 43.702
0.806 0.816 43.531
0.806 0.894 43.434
0.807 0.854 43.505
0.809 0.833 43.628
0.809 0.856 43.594
0.810 0.977 43.570
0.812 0.682 43.690
0.813 0.826 43.373
0.814 0.788 43.750
0.816 0.744 43.495
0.817 1.011 43.120
0.821 0.728 43.604
0.822 0.827 43.434
0.823 0.884 43.597
0.825 0.967 43.426
0.825 0.952 43.615
0.826 0.904 43.839
0.826 0.885 43.486
0.827 0.619 43.553
0.827 0.814 43.430
0.671 0.828 43.670
0.829 0.783 43.531
0.829 0.943 43.773
0.829 0.840 43.301
0.830 0.883 43.950
0.831 0.798 43.978
0.831 0.791 44.066
0.831 0.896 43.876
0.832 1.013 43.653
0.837 0.756 43.814
0.839 1.062 43.721
0.839 0.788 43.063
0.841 0.698 43.558
0.843 0.847 43.679
0.843 0.730 43.783
0.843 0.969 43.531
0.844 0.833 43.920
0.844 0.843 43.606
0.845 0.884 43.673
0.846 1.043 43.762
0.848 0.763 43.477
0.849 0.861 43.679
0.653 0.849 43.571
0.851 0.769 43.839
0.851 0.920 43.551
0.851 0.904 43.829
0.851 0.762 43.661
0.854 0.833 43.486
0.962 0.854 43.946
0.854 0.866 43.787
0.855 0.869 44.088
0.855 1.074 43.687
0.857 0.938 43.798
0.858 0.788 44.161
0.858 0.677 43.607
0.697 0.860 43.718
0.861 0.892 43.688
0.861 0.762 43.817
0.862 0.789 43.750
0.863 0.927 43.648
0.864 0.768 43.486
0.865 0.760 43.864
0.866 0.697 44.308
0.866 0.783 43.499
0.866 0.993 43.937
0.868 0.786 43.936
0.869 0.833 43.639
0.869 0.802 43.863
0.869 0.781 44.315
0.873 0.988 43.752
0.875 0.874 44.210
0.875 0.686 44.203
0.875 0.813 43.627
0.879 0.861 43.454
0.880 0.812 43.288
0.880 0.866 43.874
0.880 0.767 43.986
0.887 0.951 43.695
0.890 1.018 43.941
0.893 0.928 43.634
0.895 0.882 44.001
0.896 0.714 44.053
0.896 0.961 44.177
0.897 0.929 43.636
0.897 0.870 43.924
0.897 0.958 44.040
0.897 0.945 43.690
0.898 0.864 43.746
0.898 0.885 44.003
0.898 1.038 43.720
0.898 0.927 43.780
0.900 0.874 43.734
0.728 0.900 44.141
0.901 0.987 43.857
0.963 0.902 43.422
0.903 0.860 43.780
0.903 0.956 43.781
1.005 0.903 43.729
0.899 0.905 43.924
0.907 0.989 43.976
0.908 0.872 44.100
0.909 0.905 43.936
0.910 0.940 43.954
0.910 0.906 44.078
0.911 0.796 43.981
0.911 0.688 43.757
0.913 0.970 44.171
0.915 0.836 44.049
0.917 1.012 43.888
0.919 1.066 43.805
0.922 1.038 44.133
0.922 0.924 44.191
0.925 0.924 43.755
0.925 0.928 44.029
0.925 0.856 43.802
0.928 0.959 43.966
0.931 0.880 43.878
0.932 0.802 44.090
0.933 1.011 44.120
0.933 1.039 43.756
0.934 1.060 43.885
0.935 0.787 43.732
1.056 0.935 44.197
0.936 0.937 44.117
0.936 0.951 43.884
0.849 0.936 43.931
0.938 1.040 44.009
0.939 1.138 43.621
0.940 0.848 43.894
0.940 1.020 44.098
0.865 0.941 43.881
0.942 0.882 44.001
0.942 0.869 43.375
0.943 0.944 43.915
0.944 0.860 43.718
0.945 0.891 44.164
0.949 0.896 44.210
0.950 0.957 43.993
0.950 0.920 44.198
0.952 0.969 43.828
0.955 0.780 43.658
0.956 0.855 44.330
0.956 0.986 43.885
1.018 0.956 43.978
0.956 0.964 44.192
0.958 0.826 43.920
0.958 0.803 44.379
0.958 1.096 44.250
0.959 0.927 44.138
0.960 1.102 43.822
0.961 0.990 44.525
0.961 0.952 44.283
0.962 1.008 44.199
0.962 1.006 43.724
0.962 0.941 44.276
0.963 0.924 43.642
0.971 0.883 43.974
0.972 1.061 44.568
0.972 1.148 44.152
0.973 0.982 44.222
0.973 1.019 44.194
0.974 0.805 44.200
0.975 1.056 43.901
0.978 0.839 44.067
0.978 0.768 44.321
0.979 0.895 44.187
0.979 1.059 44.210
0.980 0.979 44.058
0.981 0.900 44.024
1.049 0.983 44.204
0.983 0.865 44.066
0.879 0.984 44.103
0.984 1.055 44.016
0.984 0.984 44.140
0.985 1.157 44.236
0.986 1.032 44.066
0.987 1.041 43.960
0.988 1.039 44.362
0.988 0.894 44.302
0.990 1.015 44.330
0.992 0.946 44.147
0.992 1.012 43.928
0.994 1.065 43.940
0.995 0.962 44.158
0.995 0.840 43.926
0.996 0.807 44.245
0.996 1.048 44.071
0.997 0.984 44.015
0.959 0.998 44.644
0.998 0.921 44.018
1.000 1.030 44.354
1.000 0.797 44.339
