# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# cor_z=1 if z_obs correct host, 0 otherwise
# z_obs  z_shifted   mu_t   mu_o   type   cor_z
0.265 0.293 40.714 40.910 1 1
0.236 0.265 40.717 40.362 1 1
0.266 0.158 40.721 40.756 1 1
0.268 0.148 40.743 40.671 1 1
0.270 0.195 40.764 43.564 0 1
0.271 0.279 40.769 40.695 1 1
0.271 0.348 40.772 40.542 1 1
0.274 0.228 40.794 40.707 1 1
0.274 0.421 40.799 40.609 1 1
0.274 0.326 40.800 40.750 1 1
0.276 0.368 40.812 40.954 1 1
0.277 0.187 40.824 40.809 1 1
0.278 0.155 40.834 40.881 1 1
0.278 0.215 40.836 40.596 1 1
0.280 0.165 40.846 40.939 1 1
0.282 0.237 40.865 40.737 1 1
0.283 0.337 40.880 45.644 0 1
0.285 0.323 40.895 41.005 1 1
0.285 0.367 40.896 40.637 1 1
0.286 0.283 40.902 40.953 1 1
0.286 0.217 40.904 41.231 1 1
0.287 0.320 40.907 40.901 1 1
0.201 0.288 40.917 40.822 1 1
0.288 0.284 40.921 41.178 1 1
0.256 0.288 40.924 40.808 1 1
0.289 0.205 40.925 40.697 1 1
0.290 0.247 40.938 40.840 1 1
0.291 0.221 40.950 40.927 1 1
0.292 0.407 40.951 40.874 1 1
0.293 0.325 40.966 40.928 1 1
0.296 0.199 40.992 40.990 1 1
0.298 0.405 41.001 40.544 1 1
0.299 0.408 41.015 41.213 1 1
0.300 0.263 41.018 40.896 1 1
0.300 0.421 41.019 40.735 1 1
0.302 0.336 41.040 41.054 1 1
0.303 0.288 41.046 41.169 1 1
0.303 0.398 41.051 41.304 1 1
0.304 0.455 41.053 41.074 1 1
0.304 0.264 41.059 41.237 1 1
0.305 0.299 41.060 41.362 1 1
0.305 0.306 41.063 41.022 1 1
0.306 0.422 41.069 41.092 1 1
0.306 0.219 41.070 40.551 1 1
0.306 0.282 41.075 41.015 1 1
0.308 0.209 41.086 41.130 1 1
0.308 0.187 41.086 41.447 1 1
0.309 0.340 41.098 40.913 1 1
0.310 0.312 41.101 41.230 1 1
0.310 0.351 41.105 40.930 1 1
0.310 0.328 41.106 40.788 1 1
0.311 0.293 41.109 41.425 1 1
0.311 0.313 41.114 41.006 1 1
0.312 0.213 41.118 41.196 1 1
0.312 0.253 41.122 40.944 1 1
0.313 0.319 41.126 41.301 1 1
0.313 0.251 41.129 41.367 1 1
0.314 0.298 41.134 40.772 1 1
0.315 0.364 41.146 43.687 0 1
0.275 0.316 41.151 41.218 1 1
0.318 0.245 41.171 41.348 1 1
0.319 0.384 41.173 40.831 1 1
0.319 0.406 41.174 41.314 1 1
0.319 0.353 41.175 41.271 1 1
0.323 0.410 41.207 40.962 1 1
0.324 0.280 41.217 41.392 1 1
0.324 0.343 41.219 41.255 1 1
0.325 0.316 41.225 41.260 1 1
0.326 0.171 41.229 41.108 1 1
0.326 0.269 41.230 41.331 1 1
0.418 0.327 41.236 41.418 1 1
0.328 0.337 41.243 41.065 1 1
0.328 0.254 41.245 41.376 1 1
0.329 0.321 41.251 41.434 1 1
0.329 0.173 41.253 41.544 1 1
0.329 0.251 41.256 41.259 1 1
0.330 0.320 41.261 41.301 1 1
0.330 0.388 41.263 40.973 1 1
0.331 0.359 41.270 41.404 1 1
0.333 0.319 41.288 41.357 1 1
0.334 0.323 41.292 41.470 1 1
0.334 0.347 41.295 41.423 1 1
0.335 0.427 41.302 41.254 1 1
0.336 0.344 41.307 41.345 1 1
0.337 0.260 41.311 41.012 1 1
0.340 0.378 41.334 41.387 1 1
0.341 0.373 41.343 41.674 1 1
0.343 0.321 41.359 43.100 0 1
0.343 0.379 41.360 41.341 1 1
0.345 0.322 41.376 41.433 1 1
0.345 0.427 41.376 41.268 1 1
0.347 0.387 41.385 41.270 1 1
0.226 0.349 41.399 43.813 0 1
0.349 0.304 41.400 41.452 1 1
0.349 0.377 41.401 41.651 1 1
0.349 0.439 41.402 41.167 1 1
0.352 0.275 41.421 41.333 1 1
0.353 0.217 41.430 41.427 1 1
0.354 0.449 41.435 41.567 1 1
0.354 0.359 41.442 41.602 1 1
0.356 0.259 41.454 41.827 1 1
0.380 0.360 41.482 41.806 1 1
0.360 0.316 41.483 41.477 1 1
0.361 0.459 41.491 41.326 1 1
0.362 0.390 41.497 41.463 1 1
0.308 0.362 41.498 41.463 1 1
0.363 0.400 41.503 41.617 1 1
0.364 0.293 41.511 41.779 1 1
0.365 0.218 41.517 41.466 1 1
0.366 0.320 41.520 41.656 1 1
0.369 0.307 41.542 41.487 1 1
0.373 0.379 41.571 41.668 1 1
0.373 0.373 41.573 41.399 1 1
0.373 0.346 41.574 41.450 1 1
0.277 0.373 41.574 41.633 1 1
0.375 0.343 41.584 41.668 1 1
0.412 0.375 41.587 41.558 1 1
0.377 0.276 41.599 41.594 1 1
0.378 0.431 41.602 41.482 1 1
0.379 0.403 41.614 41.241 1 1
0.380 0.423 41.618 41.656 1 1
0.381 0.339 41.627 41.930 1 1
0.382 0.362 41.630 41.566 1 1
0.382 0.346 41.631 42.426 0 1
0.383 0.521 41.636 41.506 1 1
0.462 0.386 41.659 41.520 1 1
0.387 0.253 41.665 41.445 1 1
0.388 0.394 41.669 41.400 1 1
0.388 0.275 41.670 41.671 1 1
0.388 0.332 41.671 41.882 1 1
0.389 0.609 41.677 41.482 1 1
0.390 0.478 41.684 41.659 1 1
0.393 0.365 41.702 41.595 1 1
0.394 0.511 41.712 41.759 1 1
0.396 0.504 41.722 41.572 1 1
0.399 0.321 41.741 41.770 1 1
0.402 0.429 41.761 42.173 1 1
0.402 0.276 41.764 41.691 1 1
0.402 0.440 41.765 41.817 1 1
0.403 0.451 41.770 41.567 1 1
0.404 0.301 41.773 41.478 1 1
0.404 0.216 41.774 44.377 0 1
0.404 0.324 41.778 41.503 1 1
0.406 0.369 41.788 41.688 1 1
0.406 0.344 41.790 41.702 1 1
0.408 0.352 41.798 41.784 1 1
0.408 0.481 41.798 41.535 1 1
0.408 0.316 41.800 41.725 1 1
0.408 0.484 41.800 42.176 1 1
0.410 0.347 41.813 42.431 1 1
0.412 0.260 41.824 41.555 1 1
0.413 0.426 41.829 41.535 1 1
0.414 0.493 41.839 42.212 1 1
0.415 0.476 41.844 42.099 1 1
0.417 0.389 41.854 41.785 1 1
0.417 0.342 41.854 41.807 1 1
0.419 0.530 41.866 41.904 1 1
0.421 0.222 41.878 42.049 1 1
0.422 0.323 41.884 41.923 1 1
0.422 0.417 41.886 41.542 1 1
0.423 0.283 41.895 41.571 1 1
0.426 0.270 41.910 42.200 1 1
0.427 0.541 41.917 41.538 1 1
0.428 0.521 41.920 41.987 1 1
0.429 0.272 41.932 41.791 1 1
0.430 0.573 41.937 41.644 1 1
0.431 0.458 41.939 42.013 1 1
0.432 0.396 41.945 41.958 1 1
0.407 0.433 41.950 41.741 1 1
0.434 0.350 41.956 42.116 1 1
0.435 0.661 41.965 41.921 1 1
0.435 0.479 41.966 42.078 1 1
0.328 0.436 41.972 42.076 1 1
0.437 0.379 41.975 41.979 1 1
0.438 0.410 41.980 42.122 1 1
0.438 0.567 41.983 42.195 1 1
0.623 0.441 41.999 42.272 1 1
0.442 0.460 42.006 41.860 1 1
0.444 0.384 42.016 45.755 0 1
0.468 0.444 42.016 42.211 1 1
0.445 0.416 42.023 41.786 1 1
0.446 0.354 42.031 42.095 1 1
0.453 0.611 42.069 43.938 0 1
0.453 0.534 42.070 42.116 1 1
0.454 0.490 42.074 41.731 1 1
0.455 0.648 42.080 42.065 1 1
0.455 0.347 42.080 41.827 1 1
0.455 0.544 42.081 42.129 1 1
0.456 0.527 42.088 42.186 1 1
0.458 0.381 42.097 42.077 1 1
0.540 0.459 42.102 40.985 0 1
0.459 0.473 42.106 41.963 1 1
0.461 0.655 42.112 42.512 1 1
0.464 0.560 42.130 42.104 1 1
0.464 0.674 42.133 42.045 1 1
0.465 0.327 42.135 42.158 1 1
0.465 0.300 42.135 41.865 1 1
0.465 0.214 42.139 42.204 1 1
0.466 0.399 42.142 42.260 1 1
0.466 0.488 42.142 42.451 1 1
0.466 0.423 42.144 43.980 0 1
0.467 0.355 42.148 42.303 1 1
0.467 0.236 42.150 42.104 1 1
0.467 0.337 42.150 42.200 1 1
0.450 0.468 42.155 42.106 1 1
0.469 0.343 42.160 42.175 1 1
0.470 0.577 42.163 42.356 0 1
0.470 0.455 42.165 42.441 1 1
0.470 0.420 42.167 42.452 1 1
0.473 0.450 42.182 42.257 1 1
0.474 0.554 42.186 42.228 1 1
0.474 0.317 42.189 41.890 1 1
0.475 0.473 42.190 42.202 1 1
0.477 0.409 42.204 42.389 1 1
0.479 0.443 42.211 42.083 1 1
0.479 0.494 42.212 42.160 1 1
0.481 0.438 42.223 42.187 1 1
0.484 0.404 42.239 42.342 1 1
0.484 0.402 42.241 42.367 1 1
0.485 0.408 42.245 42.158 1 1
0.485 0.459 42.248 42.079 1 1
0.486 0.450 42.250 41.992 1 1
0.487 0.482 42.255 42.198 1 1
0.487 0.480 42.258 42.084 1 1
0.488 0.426 42.263 41.867 1 1
0.489 0.716 42.268 45.813 0 1
0.489 0.663 42.268 42.236 1 1
0.489 0.384 42.269 42.121 1 1
0.490 0.356 42.271 42.375 1 1
0.492 0.587 42.285 42.037 1 1
0.493 0.403 42.288 42.496 1 1
0.493 0.415 42.289 42.488 1 1
0.494 0.526 42.293 42.367 1 1
0.495 0.623 42.299 42.367 1 1
0.497 0.486 42.309 42.040 1 1
0.497 0.555 42.311 42.184 1 1
0.499 0.513 42.317 42.162 1 1
0.499 0.438 42.322 42.279 1 1
0.501 0.510 42.328 42.420 1 1
0.501 0.516 42.329 42.617 1 1
0.501 0.405 42.330 42.244 1 1
0.502 0.497 42.335 42.479 1 1
0.504 0.444 42.347 42.144 1 1
0.509 0.521 42.370 41.952 1 1
0.509 0.525 42.371 42.530 1 1
0.510 0.460 42.375 42.382 1 1
0.510 0.573 42.376 41.872 1 1
0.512 0.513 42.385 42.477 1 1
0.657 0.512 42.388 43.371 0 1
0.513 0.630 42.390 41.986 1 1
0.514 0.522 42.395 44.663 0 1
0.516 0.451 42.406 42.522 1 1
0.517 0.631 42.410 42.729 1 1
0.518 0.421 42.417 42.650 1 1
0.563 0.519 42.421 42.453 1 1
0.520 0.778 42.425 42.680 1 1
0.520 0.549 42.426 41.731 1 1
0.520 0.516 42.429 42.596 1 1
0.521 0.332 42.431 42.474 1 1
0.521 0.585 42.432 42.486 1 1
0.523 0.533 42.442 42.395 1 1
0.523 0.489 42.442 42.276 1 1
0.523 0.492 42.443 42.820 1 1
0.523 0.446 42.444 42.744 1 1
0.525 0.498 42.452 42.216 1 1
0.525 0.553 42.452 42.743 1 1
0.525 0.493 42.453 42.020 1 1
0.526 0.543 42.457 41.977 1 1
0.530 0.513 42.474 42.511 1 1
0.531 0.545 42.483 42.248 1 1
0.531 0.442 42.484 42.214 1 1
0.545 0.532 42.485 42.295 1 1
0.533 0.555 42.491 42.515 1 1
0.533 0.390 42.493 42.365 1 1
0.535 0.557 42.499 42.649 1 1
0.536 0.529 42.504 42.573 1 1
0.537 0.471 42.511 42.660 1 1
0.538 0.597 42.515 42.539 1 1
0.538 0.759 42.516 42.379 1 1
0.538 0.595 42.517 42.845 1 1
0.541 0.559 42.528 43.583 0 1
0.542 0.640 42.536 42.580 1 1
0.545 0.611 42.549 42.742 1 1
0.546 0.488 42.552 42.341 1 1
0.546 0.612 42.553 42.644 1 1
0.547 0.425 42.557 42.558 1 1
0.547 0.588 42.559 42.575 1 1
0.549 0.601 42.568 42.543 1 1
0.550 0.366 42.576 42.717 1 1
0.551 0.472 42.578 42.705 1 1
0.551 0.601 42.579 42.637 1 1
0.552 0.404 42.581 42.490 1 1
0.552 0.689 42.585 42.658 1 1
0.555 0.479 42.598 42.625 1 1
0.557 0.586 42.604 42.647 1 1
0.557 0.445 42.604 42.627 1 1
0.646 0.557 42.606 42.863 1 1
0.576 0.561 42.627 42.571 1 1
0.562 0.657 42.630 42.746 1 1
0.563 0.495 42.634 42.450 0 1
0.563 0.460 42.634 42.382 1 1
0.563 0.643 42.636 42.687 1 1
0.564 0.617 42.641 42.515 1 1
0.566 0.504 42.648 42.552 1 1
0.566 0.497 42.649 42.589 1 1
0.567 0.672 42.652 42.822 1 1
0.568 0.449 42.660 42.844 1 1
0.569 0.645 42.661 42.772 1 1
0.570 0.568 42.665 42.625 1 1
0.572 0.566 42.678 42.497 1 1
0.573 0.494 42.679 42.877 1 1
0.574 0.483 42.684 42.603 1 1
0.574 0.608 42.686 46.900 0 1
0.574 0.669 42.686 42.649 1 1
0.575 0.473 42.690 42.588 1 1
0.575 0.638 42.692 42.697 1 1
0.578 0.564 42.705 42.615 1 1
0.579 0.635 42.709 42.774 1 1
0.579 0.599 42.710 42.436 1 1
0.580 0.524 42.711 42.506 1 1
0.581 0.612 42.717 42.736 1 1
0.583 0.480 42.727 42.607 1 1
0.583 0.643 42.728 42.383 1 1
0.584 0.491 42.732 43.008 1 1
0.585 0.660 42.733 42.858 1 1
0.586 0.401 42.738 42.570 1 1
0.587 0.458 42.745 42.398 1 1
0.588 0.688 42.748 42.490 1 1
0.589 0.731 42.753 42.677 1 1
0.787 0.592 42.766 42.674 1 1
0.597 0.592 42.768 42.883 1 1
0.592 0.692 42.768 42.448 1 1
0.593 0.638 42.772 42.712 1 1
0.576 0.595 42.780 42.889 1 1
0.597 0.531 42.787 42.776 1 1
0.597 0.576 42.788 42.919 1 1
0.599 0.555 42.797 42.925 1 1
0.599 0.679 42.797 42.581 1 1
0.600 0.624 42.800 42.852 1 1
0.601 0.703 42.804 42.835 1 1
0.601 0.558 42.807 42.681 1 1
0.606 0.516 42.829 42.815 1 1
0.608 0.526 42.836 43.237 1 1
0.609 0.554 42.839 42.826 1 1
0.609 0.573 42.840 42.957 1 1
0.611 0.556 42.851 42.784 1 1
0.612 0.571 42.853 42.751 1 1
0.615 0.707 42.867 42.930 1 1
0.616 0.481 42.872 43.101 1 1
0.616 0.669 42.872 42.951 1 1
0.617 0.714 42.877 42.852 1 1
0.521 0.618 42.878 43.274 1 1
0.548 0.618 42.881 42.927 1 1
0.620 0.576 42.889 42.842 1 1
0.621 0.690 42.891 42.975 1 1
0.622 0.769 42.895 42.985 1 1
0.623 0.517 42.900 42.981 1 1
0.624 0.513 42.905 42.686 1 1
0.625 0.462 42.909 42.889 1 1
0.625 0.497 42.910 42.856 1 1
0.626 0.471 42.911 43.276 1 1
0.627 0.693 42.919 42.813 1 1
0.628 0.618 42.919 42.999 1 1
0.629 0.775 42.928 42.802 1 1
0.525 0.632 42.938 42.887 1 1
0.633 0.517 42.944 42.751 1 1
0.634 0.752 42.945 43.173 1 1
0.634 0.538 42.946 42.867 1 1
0.636 0.676 42.954 43.143 1 1
0.730 0.636 42.955 43.022 1 1
0.636 0.631 42.956 42.615 1 1
0.713 0.637 42.959 42.931 1 1
0.637 0.630 42.960 43.030 1 1
0.638 0.664 42.961 43.261 1 1
0.638 0.631 42.965 42.919 1 1
0.640 0.624 42.970 42.479 1 1
0.640 0.704 42.973 42.842 1 1
0.643 0.407 42.985 43.214 1 1
0.645 0.827 42.990 43.089 1 1
0.649 0.725 43.006 43.028 1 1
0.654 0.480 43.030 43.289 1 1
0.655 0.628 43.034 42.929 1 1
0.656 0.617 43.035 43.287 1 1
0.658 0.679 43.046 43.120 0 1
0.658 0.650 43.047 43.186 1 1
0.660 0.730 43.055 43.130 1 1
0.661 0.566 43.058 42.909 1 1
0.725 0.663 43.066 43.051 1 1
0.663 0.631 43.066 43.130 1 1
0.665 0.588 43.072 43.070 1 1
0.665 0.646 43.072 43.255 1 1
0.666 0.796 43.075 43.062 1 1
0.668 0.434 43.084 43.307 1 1
0.703 0.668 43.084 43.075 1 1
0.668 0.681 43.086 43.432 1 1
0.669 0.612 43.088 42.854 1 1
0.671 0.585 43.098 43.046 1 1
0.927 0.672 43.099 43.368 1 1
0.672 0.831 43.100 43.047 1 1
0.672 0.620 43.100 43.215 0 1
0.672 0.856 43.100 43.392 1 1
0.673 0.707 43.103 43.038 1 1
0.602 0.673 43.104 43.021 1 1
0.722 0.676 43.117 43.051 1 1
0.676 0.641 43.118 42.995 1 1
0.677 0.662 43.121 43.142 1 1
0.678 0.504 43.122 42.640 1 1
0.678 0.653 43.123 43.157 1 1
0.678 0.732 43.125 43.210 1 1
0.679 0.550 43.129 43.270 1 1
0.680 0.622 43.133 43.322 1 1
0.681 0.681 43.135 43.287 1 1
0.683 0.661 43.145 47.230 0 1
0.684 0.537 43.145 43.310 1 1
0.684 0.838 43.146 43.241 1 1
0.686 0.613 43.156 43.373 1 1
0.687 0.640 43.159 43.214 1 1
0.688 0.735 43.161 43.238 1 1
0.688 0.732 43.161 43.118 1 1
0.689 0.733 43.167 43.273 1 1
0.689 0.715 43.168 43.097 1 1
0.689 0.785 43.168 43.104 1 1
0.690 0.566 43.171 43.215 1 1
0.691 0.729 43.172 43.088 1 1
0.691 0.781 43.176 42.931 1 1
0.693 0.785 43.182 43.586 1 1
0.694 0.614 43.186 43.083 1 1
0.695 0.515 43.189 43.128 1 1
0.695 0.599 43.189 43.353 1 1
0.696 0.971 43.192 43.108 1 1
0.697 0.699 43.198 43.186 1 1
0.698 0.836 43.199 43.031 1 1
0.698 0.594 43.200 42.796 1 1
0.698 0.835 43.200 43.389 1 1
0.705 0.542 43.226 42.829 1 1
0.705 0.630 43.228 43.713 1 1
0.840 0.706 43.231 43.502 1 1
0.707 0.875 43.233 43.071 1 1
0.707 0.707 43.236 43.499 1 1
0.708 0.790 43.237 43.056 1 1
0.708 0.651 43.238 43.392 1 1
0.708 0.720 43.239 43.471 1 1
0.709 0.644 43.241 43.138 1 1
0.623 0.710 43.244 42.968 1 1
0.710 0.704 43.247 43.333 1 1
0.711 0.639 43.248 43.228 1 1
0.712 0.899 43.254 47.362 0 1
0.713 0.611 43.257 42.996 1 1
0.713 0.736 43.258 43.288 1 1
