# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# z  z_shifted   mu_t   mu_o   type
0.122 0.123 38.844 39.081 1
0.124 0.091 38.884 40.548 0
0.124 0.129 38.893 39.855 0
0.125 0.134 38.901 40.713 0
0.126 0.175 38.915 42.063 0
0.126 0.178 38.920 42.766 0
0.126 0.159 38.923 38.826 1
0.126 0.154 38.927 43.272 0
0.126 0.157 38.930 43.340 0
0.127 0.168 38.937 41.450 0
0.127 0.066 38.942 38.846 1
0.128 0.122 38.954 40.056 0
0.128 0.175 38.956 38.863 0
0.128 0.147 38.965 40.564 0
0.129 0.189 38.987 40.073 0
0.130 0.158 38.998 40.993 0
0.131 0.144 39.015 40.277 0
0.132 0.187 39.029 41.040 0
0.132 0.174 39.035 39.275 0
0.133 0.190 39.057 39.260 0
0.134 0.146 39.060 39.139 1
0.135 0.126 39.088 39.381 0
0.136 0.152 39.109 40.505 0
0.137 0.188 39.119 39.786 0
0.138 0.142 39.137 39.035 0
0.139 0.143 39.152 40.156 0
0.139 0.164 39.156 42.643 0
0.140 0.218 39.169 42.613 0
0.141 0.164 39.191 40.522 0
0.143 0.128 39.214 38.529 0
0.144 0.135 39.240 39.477 1
0.145 0.109 39.257 39.077 1
0.145 0.193 39.261 39.141 1
0.146 0.118 39.265 44.051 0
0.146 0.187 39.268 43.453 0
0.147 0.131 39.282 41.343 0
0.148 0.167 39.296 41.422 0
0.148 0.168 39.304 42.687 0
0.150 0.107 39.327 41.104 0
0.150 0.272 39.338 39.545 1
0.150 0.070 39.338 38.406 0
0.152 0.144 39.359 41.259 0
0.153 0.092 39.378 39.183 1
0.153 0.170 39.388 39.392 1
0.154 0.137 39.392 40.978 0
0.155 0.175 39.406 39.029 1
0.155 0.126 39.413 39.575 1
0.156 0.152 39.426 40.412 0
0.162 0.158 39.522 39.491 0
0.163 0.148 39.532 39.905 1
0.164 0.220 39.542 44.149 0
0.164 0.118 39.550 43.313 0
0.167 0.208 39.588 40.468 0
0.167 0.070 39.589 39.406 1
0.169 0.150 39.620 39.506 1
0.170 0.166 39.634 43.729 0
0.170 0.186 39.636 40.468 0
0.170 0.177 39.638 43.577 0
0.171 0.159 39.651 43.085 0
0.173 0.135 39.671 39.907 1
0.173 0.256 39.671 39.817 1
0.173 0.146 39.677 42.671 0
0.174 0.179 39.683 41.638 0
0.176 0.127 39.716 40.330 0
0.176 0.239 39.718 39.431 1
0.176 0.094 39.720 42.855 0
0.177 0.156 39.733 41.356 0
0.177 0.162 39.736 43.057 0
0.177 0.203 39.736 41.599 0
0.178 0.198 39.742 40.149 0
0.178 0.156 39.746 39.756 1
0.178 0.152 39.748 41.983 0
0.178 0.224 39.750 39.776 1
0.182 0.183 39.793 39.280 1
0.182 0.133 39.803 39.941 1
0.183 0.242 39.809 40.801 0
0.183 0.164 39.815 43.016 0
0.187 0.286 39.859 39.843 0
0.187 0.193 39.868 40.719 0
0.188 0.195 39.869 39.959 1
0.188 0.123 39.874 41.233 0
0.188 0.213 39.874 44.156 0
0.189 0.236 39.887 44.068 0
0.189 0.185 39.887 42.086 0
0.189 0.273 39.892 44.594 0
0.190 0.193 39.898 40.139 1
0.190 0.224 39.899 41.086 0
0.191 0.139 39.908 40.952 0
0.192 0.178 39.922 42.123 0
0.192 0.163 39.931 44.022 0
0.193 0.165 39.936 41.495 0
0.195 0.313 39.965 44.812 0
0.196 0.210 39.977 40.202 1
0.197 0.192 39.982 40.245 0
0.197 0.142 39.983 41.684 0
0.198 0.273 39.995 43.032 0
0.201 0.289 40.035 43.059 0
0.201 0.217 40.039 42.365 0
0.205 0.199 40.086 39.887 1
0.207 0.144 40.110 42.567 0
0.209 0.233 40.130 40.907 0
0.210 0.197 40.137 42.500 0
0.210 0.214 40.143 42.016 0
0.210 0.145 40.144 40.002 1
0.210 0.100 40.144 42.021 0
0.210 0.224 40.146 46.201 0
0.211 0.213 40.151 40.239 1
0.211 0.186 40.151 40.548 0
0.211 0.186 40.153 41.878 0
0.211 0.164 40.156 40.206 1
0.214 0.194 40.185 43.890 0
0.214 0.189 40.192 40.180 1
0.215 0.160 40.205 43.025 0
0.215 0.213 40.206 37.869 0
0.217 0.250 40.226 44.126 0
0.220 0.281 40.258 43.716 0
0.221 0.257 40.265 41.433 0
0.221 0.256 40.270 41.007 0
0.222 0.289 40.275 39.117 0
0.223 0.266 40.293 40.438 1
0.224 0.257 40.296 40.484 1
0.224 0.297 40.305 42.697 0
0.225 0.125 40.309 44.203 0
0.226 0.193 40.322 42.897 0
0.228 0.281 40.340 42.216 0
0.228 0.225 40.344 40.356 1
0.228 0.282 40.346 42.050 0
0.229 0.171 40.349 40.722 0
0.229 0.210 40.359 39.418 0
0.231 0.228 40.371 41.017 0
0.233 0.219 40.400 45.222 0
0.235 0.229 40.421 43.399 0
0.236 0.177 40.427 40.410 1
0.237 0.177 40.436 42.419 0
0.237 0.232 40.440 42.712 0
0.238 0.236 40.447 40.467 1
0.239 0.161 40.459 43.576 0
0.239 0.270 40.461 44.362 0
0.240 0.197 40.465 43.654 0
0.243 0.213 40.495 41.543 0
0.243 0.238 40.498 44.135 0
0.243 0.206 40.503 41.336 0
0.244 0.266 40.512 44.651 0
0.244 0.257 40.514 43.353 0
0.246 0.288 40.530 40.741 1
0.247 0.341 40.535 40.373 0
0.247 0.147 40.543 40.329 0
0.248 0.309 40.548 39.421 0
0.248 0.265 40.554 44.754 0
0.248 0.244 40.554 46.090 0
0.250 0.259 40.568 44.703 0
0.251 0.334 40.579 40.405 1
0.252 0.286 40.585 41.768 0
0.254 0.306 40.612 42.280 0
0.255 0.336 40.622 45.320 0
0.258 0.259 40.647 40.918 0
0.261 0.220 40.674 44.422 0
0.262 0.296 40.686 44.218 0
0.262 0.357 40.689 43.860 0
0.263 0.338 40.693 42.115 0
0.264 0.256 40.702 40.717 1
0.266 0.268 40.720 43.684 0
0.267 0.275 40.736 40.824 0
0.268 0.211 40.737 44.273 0
0.268 0.235 40.745 44.526 0
0.268 0.326 40.745 41.891 0
0.271 0.269 40.770 40.844 1
0.271 0.300 40.773 43.191 0
0.273 0.288 40.789 41.212 0
0.275 0.217 40.805 46.873 0
0.275 0.285 40.807 46.542 0
0.276 0.280 40.817 40.958 1
0.277 0.231 40.819 43.984 0
0.277 0.317 40.827 43.675 0
0.281 0.201 40.862 41.044 1
0.281 0.357 40.863 40.983 1
0.282 0.272 40.866 42.147 0
0.282 0.271 40.866 43.779 0
0.283 0.264 40.878 41.029 1
0.284 0.288 40.885 40.947 1
0.285 0.290 40.891 43.478 0
0.285 0.226 40.892 43.172 0
0.285 0.276 40.896 42.535 0
0.286 0.273 40.905 40.763 1
0.286 0.204 40.907 42.778 0
0.287 0.318 40.913 40.958 1
0.288 0.308 40.924 41.111 1
0.291 0.231 40.950 41.981 0
0.292 0.333 40.957 41.324 1
0.293 0.247 40.962 40.911 1
0.293 0.350 40.965 43.376 0
0.294 0.292 40.970 41.393 1
0.294 0.221 40.973 42.283 0
0.295 0.330 40.982 43.045 0
0.296 0.284 40.988 42.411 0
0.299 0.423 41.015 43.447 0
0.301 0.265 41.032 41.095 1
0.302 0.401 41.041 40.974 1
0.305 0.328 41.065 43.846 0
0.305 0.266 41.065 40.725 1
0.306 0.308 41.075 41.273 1
0.306 0.319 41.075 41.073 1
0.309 0.284 41.093 42.157 0
0.309 0.282 41.093 41.518 0
0.309 0.330 41.094 43.454 0
0.310 0.360 41.103 40.623 1
0.312 0.366 41.117 39.880 0
0.313 0.310 41.129 42.044 0
0.314 0.363 41.133 43.957 0
0.315 0.344 41.142 43.431 0
0.315 0.271 41.143 43.085 0
0.315 0.271 41.143 44.688 0
0.316 0.279 41.155 41.235 1
0.318 0.365 41.168 41.334 1
0.319 0.288 41.173 45.370 0
0.320 0.353 41.182 40.733 0
0.321 0.251 41.188 43.033 0
0.321 0.269 41.194 42.698 0
0.322 0.296 41.197 41.068 1
0.323 0.272 41.208 40.846 1
0.323 0.289 41.211 41.869 0
0.326 0.337 41.231 42.498 0
0.326 0.297 41.232 41.070 1
0.327 0.218 41.234 43.466 0
0.327 0.371 41.239 44.832 0
0.329 0.331 41.253 43.445 0
0.330 0.296 41.258 41.763 1
0.330 0.371 41.264 41.922 0
0.332 0.311 41.275 43.441 0
0.332 0.319 41.278 41.122 0
0.333 0.385 41.283 43.313 0
0.334 0.309 41.291 44.066 0
0.334 0.390 41.292 43.516 0
0.334 0.330 41.295 42.940 0
0.335 0.427 41.296 44.284 0
0.335 0.291 41.298 44.864 0
0.336 0.379 41.305 41.691 1
0.337 0.354 41.310 43.838 0
0.337 0.300 41.313 46.229 0
0.339 0.279 41.329 45.391 0
0.342 0.348 41.349 40.952 1
0.342 0.365 41.350 45.144 0
0.342 0.317 41.351 43.260 0
0.343 0.306 41.360 42.030 0
0.344 0.364 41.363 43.215 0
0.344 0.205 41.365 41.264 0
0.344 0.203 41.365 41.519 1
0.345 0.312 41.374 43.155 0
0.349 0.376 41.401 41.107 1
0.349 0.384 41.406 42.168 0
0.352 0.379 41.426 40.159 0
0.355 0.379 41.442 41.238 1
0.356 0.370 41.451 41.459 1
0.356 0.277 41.454 42.847 0
0.356 0.353 41.456 41.583 1
0.360 0.360 41.483 41.495 1
0.361 0.284 41.490 45.065 0
0.362 0.431 41.492 44.012 0
0.363 0.301 41.504 44.213 0
0.365 0.360 41.519 44.293 0
0.365 0.256 41.519 41.893 1
0.366 0.380 41.526 42.829 0
0.368 0.397 41.538 44.238 0
0.368 0.365 41.538 43.210 0
0.369 0.459 41.541 41.683 0
0.376 0.411 41.590 41.727 0
0.377 0.278 41.601 42.979 0
0.377 0.349 41.601 45.068 0
0.378 0.368 41.604 41.932 1
0.379 0.347 41.613 42.331 0
0.380 0.373 41.616 42.411 0
0.380 0.378 41.619 41.126 0
0.381 0.382 41.624 41.543 1
0.381 0.371 41.629 42.495 0
0.382 0.472 41.633 41.548 1
0.383 0.373 41.637 43.708 0
0.384 0.291 41.648 41.619 1
0.385 0.436 41.649 43.351 0
0.385 0.367 41.650 42.509 0
0.385 0.447 41.652 45.801 0
0.386 0.406 41.657 41.778 1
0.386 0.413 41.658 44.721 0
0.386 0.379 41.662 41.653 1
0.387 0.494 41.664 41.655 1
0.387 0.369 41.666 42.925 0
0.387 0.339 41.666 41.818 1
0.388 0.416 41.675 41.480 1
0.389 0.342 41.676 41.686 1
0.389 0.412 41.681 43.866 0
0.391 0.354 41.694 41.828 1
0.392 0.478 41.695 45.087 0
0.393 0.394 41.703 41.637 0
0.393 0.414 41.706 42.452 0
0.394 0.395 41.712 41.682 1
0.395 0.411 41.717 42.151 0
0.397 0.453 41.730 45.851 0
0.399 0.419 41.742 43.872 0
0.401 0.445 41.758 45.666 0
0.402 0.351 41.760 44.066 0
0.403 0.403 41.770 44.386 0
0.403 0.475 41.771 45.134 0
0.404 0.441 41.773 42.489 0
0.404 0.404 41.777 43.629 0
0.405 0.454 41.782 41.631 1
0.407 0.376 41.796 41.860 1
0.407 0.396 41.796 44.875 0
0.408 0.396 41.799 41.787 1
0.409 0.329 41.806 42.590 0
0.409 0.436 41.808 46.613 0
0.410 0.374 41.812 44.089 0
0.411 0.436 41.817 45.223 0
0.411 0.433 41.820 41.954 1
0.411 0.402 41.821 41.799 1
0.412 0.355 41.826 41.826 1
0.413 0.478 41.830 44.348 0
0.413 0.424 41.830 45.630 0
0.413 0.491 41.835 42.027 1
0.415 0.440 41.846 44.116 0
0.416 0.416 41.850 41.743 1
0.416 0.342 41.851 42.063 0
0.417 0.433 41.855 43.105 0
0.417 0.411 41.856 42.580 0
0.418 0.482 41.864 41.881 1
0.423 0.375 41.890 44.804 0
0.425 0.384 41.906 42.829 0
0.426 0.384 41.912 42.120 0
0.427 0.531 41.915 41.360 1
0.428 0.469 41.923 44.690 0
0.430 0.349 41.933 42.681 0
0.430 0.436 41.934 45.431 0
0.433 0.460 41.951 42.084 1
0.434 0.421 41.961 42.836 0
0.435 0.495 41.965 47.199 0
0.435 0.407 41.966 41.848 0
0.437 0.549 41.975 44.671 0
0.437 0.525 41.979 42.134 0
0.441 0.429 42.003 43.839 0
0.444 0.474 42.016 44.823 0
0.445 0.467 42.021 46.389 0
0.448 0.412 42.039 46.230 0
0.449 0.410 42.044 42.085 1
0.449 0.392 42.047 45.714 0
0.453 0.449 42.067 41.594 0
0.453 0.369 42.068 44.198 0
0.453 0.505 42.070 44.417 0
0.457 0.421 42.091 47.728 0
0.457 0.365 42.095 44.726 0
0.458 0.523 42.095 44.098 0
0.459 0.382 42.103 42.076 1
0.461 0.462 42.115 42.483 1
0.461 0.501 42.116 44.556 0
0.464 0.523 42.129 42.299 1
0.464 0.492 42.131 42.810 0
0.465 0.440 42.134 45.036 0
0.466 0.561 42.140 42.863 0
0.466 0.438 42.144 42.646 0
0.469 0.439 42.157 45.214 0
0.469 0.511 42.158 45.531 0
0.469 0.420 42.160 42.270 1
0.470 0.319 42.166 42.127 1
0.471 0.509 42.172 44.217 0
0.473 0.475 42.178 42.345 1
0.473 0.517 42.181 46.167 0
0.474 0.521 42.186 42.576 0
0.474 0.521 42.186 42.415 1
0.477 0.481 42.201 43.005 0
0.477 0.408 42.205 42.002 0
0.479 0.468 42.214 42.737 0
0.480 0.544 42.219 42.356 1
0.480 0.426 42.221 44.282 0
0.481 0.536 42.225 43.276 0
0.482 0.463 42.227 44.413 0
0.482 0.492 42.231 44.986 0
0.482 0.423 42.231 44.648 0
0.484 0.432 42.239 46.052 0
0.485 0.496 42.246 47.287 0
0.486 0.548 42.249 42.481 1
0.492 0.508 42.282 44.839 0
0.494 0.561 42.293 42.191 1
0.496 0.479 42.302 44.346 0
0.497 0.416 42.309 42.272 1
0.498 0.480 42.313 42.511 1
0.498 0.506 42.315 42.334 1
0.500 0.534 42.324 44.479 0
0.500 0.468 42.326 43.366 0
0.500 0.471 42.326 42.205 0
0.501 0.542 42.328 45.256 0
0.502 0.488 42.336 43.040 0
0.502 0.513 42.336 42.503 1
0.502 0.523 42.337 42.444 1
0.503 0.383 42.341 42.661 1
0.503 0.484 42.342 42.313 1
0.506 0.585 42.358 42.137 1
0.507 0.486 42.360 42.020 1
0.508 0.517 42.365 45.847 0
0.509 0.626 42.371 45.675 0
0.510 0.535 42.377 42.493 1
0.514 0.533 42.399 44.224 0
0.516 0.429 42.405 47.171 0
0.516 0.517 42.406 44.384 0
0.517 0.396 42.410 44.961 0
0.520 0.537 42.428 42.250 1
0.520 0.553 42.429 43.376 0
0.520 0.642 42.429 41.306 0
0.521 0.516 42.432 45.714 0
0.521 0.465 42.433 44.773 0
0.521 0.443 42.433 43.736 0
0.522 0.439 42.436 42.322 1
0.522 0.443 42.438 45.066 0
0.522 0.489 42.438 43.910 0
0.522 0.589 42.439 42.870 0
0.523 0.456 42.440 42.741 0
0.524 0.397 42.445 47.316 0
0.524 0.532 42.447 44.856 0
0.524 0.556 42.448 42.605 1
0.525 0.443 42.450 42.088 1
0.525 0.525 42.453 45.549 0
0.525 0.559 42.454 42.747 0
0.527 0.476 42.460 42.749 1
0.528 0.512 42.465 43.969 0
0.529 0.510 42.469 42.400 1
0.530 0.626 42.478 41.928 0
0.530 0.492 42.478 44.137 0
0.530 0.505 42.478 41.653 0
0.531 0.629 42.481 43.948 0
0.532 0.546 42.486 42.720 0
0.533 0.521 42.491 42.429 1
0.533 0.475 42.493 41.242 0
0.534 0.432 42.494 43.241 0
0.534 0.523 42.498 46.186 0
0.535 0.519 42.501 42.380 1
0.535 0.580 42.502 42.453 1
0.537 0.668 42.512 46.340 0
0.538 0.489 42.515 44.010 0
0.538 0.619 42.517 42.308 0
0.538 0.548 42.518 44.952 0
0.539 0.630 42.521 42.242 1
0.539 0.514 42.522 44.017 0
0.540 0.547 42.523 43.495 0
0.541 0.539 42.528 43.276 0
0.541 0.489 42.530 44.734 0
0.541 0.595 42.530 41.958 0
0.541 0.494 42.531 47.749 0
0.542 0.548 42.534 41.342 0
0.545 0.563 42.548 42.318 1
0.546 0.527 42.553 48.036 0
0.546 0.539 42.553 43.188 0
0.546 0.461 42.556 42.800 1
0.548 0.428 42.562 42.761 1
0.548 0.563 42.563 44.370 0
0.548 0.578 42.566 42.604 1
0.549 0.578 42.571 43.981 0
0.550 0.673 42.574 42.100 1
0.551 0.466 42.576 44.745 0
0.551 0.461 42.579 45.464 0
0.551 0.468 42.579 44.820 0
0.552 0.493 42.583 42.455 1
0.553 0.577 42.585 43.753 0
0.557 0.638 42.606 43.088 0
0.557 0.549 42.607 42.662 1
0.558 0.569 42.613 46.494 0
0.559 0.537 42.617 42.579 1
0.565 0.543 42.644 44.302 0
0.565 0.515 42.646 45.078 0
0.566 0.650 42.649 43.267 0
0.566 0.549 42.650 42.810 0
0.567 0.556 42.652 45.713 0
0.568 0.601 42.656 46.983 0
0.568 0.612 42.659 44.332 0
0.569 0.491 42.661 44.853 0
0.569 0.583 42.663 45.177 0
0.570 0.657 42.668 42.227 1
0.572 0.618 42.676 44.962 0
0.572 0.590 42.676 45.315 0
0.572 0.578 42.677 42.772 1
0.574 0.554 42.684 42.712 1
0.574 0.519 42.686 44.237 0
0.574 0.603 42.686 42.777 1
0.575 0.565 42.689 44.415 0
0.575 0.550 42.692 45.910 0
0.582 0.613 42.722 45.303 0
0.584 0.514 42.732 44.420 0
0.585 0.616 42.733 45.687 0
0.585 0.474 42.735 44.642 0
0.587 0.623 42.745 43.971 0
0.588 0.626 42.746 43.429 0
0.588 0.573 42.749 44.849 0
0.590 0.530 42.759 46.834 0
0.592 0.605 42.768 43.773 0
0.594 0.481 42.776 47.100 0
0.595 0.569 42.780 42.753 0
0.595 0.604 42.781 42.694 1
0.596 0.696 42.785 45.647 0
0.597 0.590 42.789 43.975 0
0.599 0.526 42.796 45.044 0
0.599 0.617 42.796 41.714 0
0.599 0.502 42.797 43.399 0
0.599 0.508 42.798 44.849 0
0.601 0.522 42.808 43.079 1
0.602 0.573 42.812 42.077 0
0.603 0.535 42.813 42.667 1
0.603 0.489 42.815 43.555 0
0.607 0.667 42.832 46.872 0
0.607 0.734 42.832 42.902 1
0.607 0.550 42.833 46.018 0
0.608 0.580 42.837 45.824 0
0.610 0.598 42.843 46.431 0
0.610 0.587 42.843 42.943 0
0.610 0.700 42.844 44.356 0
0.613 0.650 42.859 46.851 0
0.614 0.674 42.860 47.718 0
0.614 0.604 42.860 44.895 0
0.615 0.610 42.866 44.536 0
0.616 0.693 42.869 42.704 1
0.617 0.649 42.877 45.159 0
0.618 0.610 42.879 45.083 0
0.620 0.588 42.887 43.113 1
0.620 0.756 42.888 42.756 1
0.620 0.542 42.888 42.700 1
0.621 0.667 42.891 44.654 0
0.621 0.629 42.891 43.627 0
0.622 0.435 42.898 43.085 1
0.624 0.611 42.906 44.528 0
0.624 0.678 42.907 44.019 0
0.625 0.642 42.907 43.948 0
0.626 0.651 42.914 44.957 0
0.626 0.715 42.915 42.577 1
0.626 0.564 42.915 43.207 0
0.630 0.680 42.931 43.489 0
0.631 0.615 42.935 45.325 0
0.632 0.719 42.937 42.896 1
0.634 0.510 42.947 42.838 0
0.634 0.642 42.948 44.447 0
0.634 0.544 42.948 43.483 0
0.636 0.745 42.955 46.179 0
0.637 0.641 42.959 44.198 0
0.637 0.658 42.960 42.702 1
0.638 0.642 42.961 44.666 0
0.638 0.665 42.962 45.420 0
0.638 0.601 42.964 45.201 0
0.638 0.503 42.965 43.285 1
0.641 0.569 42.976 43.176 1
0.643 0.648 42.984 44.476 0
0.643 0.675 42.984 43.541 0
0.643 0.727 42.984 42.705 1
0.643 0.686 42.985 45.383 0
0.645 0.586 42.991 45.592 0
0.646 0.686 42.994 48.814 0
0.646 0.699 42.995 44.807 0
0.649 0.581 43.008 45.468 0
0.650 0.617 43.013 47.348 0
0.651 0.584 43.018 46.263 0
0.655 0.704 43.032 44.701 0
0.656 0.616 43.035 44.936 0
0.657 0.576 43.041 43.285 1
0.658 0.650 43.043 43.417 0
0.658 0.631 43.043 43.122 0
0.659 0.664 43.049 43.165 1
0.662 0.711 43.060 42.998 1
0.662 0.650 43.063 44.893 0
0.662 0.592 43.063 43.839 0
0.664 0.752 43.068 44.734 0
0.665 0.737 43.073 45.459 0
0.665 0.616 43.073 44.420 0
0.665 0.724 43.074 43.599 0
0.666 0.651 43.075 45.532 0
0.667 0.641 43.081 46.575 0
0.669 0.629 43.088 44.364 0
0.672 0.734 43.100 43.381 0
0.672 0.651 43.101 45.540 0
0.674 0.562 43.106 43.147 1
0.674 0.592 43.108 44.774 0
0.674 0.580 43.109 43.610 0
0.676 0.716 43.117 46.443 0
0.679 0.710 43.126 43.150 1
0.679 0.541 43.127 43.246 1
0.679 0.593 43.127 44.234 0
0.681 0.585 43.136 43.057 1
0.681 0.705 43.137 43.074 1
0.683 0.586 43.144 45.523 0
0.684 0.703 43.146 43.745 0
0.686 0.704 43.155 44.104 0
0.687 0.650 43.160 43.049 1
0.689 0.682 43.168 46.641 0
0.691 0.637 43.175 42.954 0
0.692 0.758 43.178 43.252 1
0.693 0.633 43.182 41.906 0
0.697 0.793 43.198 43.127 1
0.698 0.662 43.202 43.188 1
0.699 0.645 43.204 46.369 0
0.699 0.725 43.205 44.880 0
0.700 0.532 43.208 43.090 0
0.700 0.744 43.208 46.064 0
0.700 0.767 43.209 44.812 0
0.700 0.785 43.210 44.803 0
0.701 0.825 43.210 44.201 0
0.702 0.638 43.214 43.012 1
0.703 0.649 43.219 42.902 0
0.703 0.755 43.220 43.728 0
0.703 0.778 43.221 45.025 0
0.704 0.705 43.222 42.705 0
0.704 0.716 43.223 45.532 0
0.704 0.739 43.223 43.255 1
0.705 0.669 43.226 44.332 0
0.705 0.666 43.227 43.467 0
0.705 0.822 43.228 44.807 0
0.709 0.763 43.240 45.654 0
0.709 0.818 43.244 43.855 0
0.710 0.576 43.246 43.039 1
0.711 0.610 43.249 46.249 0
0.711 0.713 43.251 46.353 0
0.712 0.702 43.252 43.063 1
0.712 0.689 43.255 43.363 0
0.714 0.787 43.261 43.005 1
0.718 0.777 43.277 46.133 0
0.718 0.786 43.277 47.402 0
0.719 0.663 43.280 43.245 1
0.719 0.740 43.281 43.174 0
0.720 0.724 43.283 45.387 0
0.722 0.734 43.292 46.184 0
0.723 0.640 43.293 44.595 0
0.726 0.777 43.305 44.571 0
0.727 0.765 43.307 46.228 0
0.728 0.851 43.310 42.756 0
0.728 0.851 43.311 43.155 1
0.730 0.740 43.319 46.215 0
0.730 0.656 43.320 43.608 1
0.730 0.633 43.320 43.494 1
0.730 0.855 43.321 43.940 0
0.731 0.772 43.322 44.662 0
0.731 0.703 43.325 43.102 1
0.732 0.685 43.327 46.424 0
0.732 0.735 43.327 44.925 0
0.736 0.820 43.341 45.976 0
0.736 0.791 43.341 46.938 0
0.737 0.735 43.344 43.968 1
0.737 0.688 43.344 43.535 1
0.738 0.696 43.347 43.886 0
0.739 0.805 43.353 46.334 0
0.739 0.641 43.354 43.613 1
0.740 0.709 43.354 45.632 0
0.741 0.652 43.359 45.978 0
0.742 0.759 43.361 45.324 0
0.742 0.664 43.361 42.056 0
0.742 0.741 43.362 44.303 0
0.742 0.693 43.362 45.772 0
0.742 0.740 43.364 42.656 0
0.743 0.724 43.365 41.543 0
0.744 0.748 43.370 43.533 1
0.745 0.640 43.372 43.418 1
0.745 0.781 43.372 45.345 0
0.745 0.833 43.373 43.032 0
0.748 0.729 43.385 42.710 0
0.749 0.803 43.387 46.418 0
0.750 0.580 43.390 47.690 0
