# Error in mu 0.20
# z   z2   mu
0.146 0.048 39.367
0.053 0.147 39.388
0.147 0.097 39.613
0.149 0.206 39.293
0.150 0.168 39.262
0.259 0.150 39.559
0.151 0.180 38.951
0.151 0.086 39.342
0.151 0.117 39.671
0.151 0.103 39.049
0.152 0.296 39.407
0.156 0.144 39.568
0.157 0.135 39.534
0.157 0.024 39.751
0.157 0.097 39.793
0.158 0.062 39.344
0.159 0.037 39.528
0.160 0.120 39.107
0.160 0.174 39.555
0.162 0.141 39.339
0.163 0.153 39.534
0.168 0.328 39.460
0.172 0.168 39.672
0.170 0.088 39.768
0.172 0.143 39.911
0.174 0.080 39.754
0.175 0.218 39.491
0.175 0.151 39.710
0.085 0.176 39.709
0.176 0.223 39.497
0.176 0.257 39.466
0.159 0.177 39.677
0.177 0.278 39.561
0.177 0.082 39.660
0.179 0.333 39.427
0.183 0.083 39.824
0.183 0.295 39.926
0.184 0.053 40.143
0.007 0.185 39.659
0.185 0.100 39.844
0.186 0.280 39.806
0.188 0.067 40.395
0.188 0.096 39.760
0.189 0.147 40.164
0.190 0.158 39.859
0.190 0.035 40.191
0.079 0.190 40.332
0.191 0.080 40.102
0.191 0.183 40.028
0.192 0.089 39.814
0.192 0.229 39.894
0.193 0.305 40.123
0.193 0.251 40.080
0.193 0.336 40.326
0.194 0.255 39.929
0.196 0.300 39.651
0.196 0.327 39.837
0.197 0.413 39.805
0.197 0.278 40.265
0.197 0.193 39.711
0.197 0.304 40.031
0.198 0.076 39.951
0.199 0.273 39.992
0.203 0.019 40.201
0.204 0.013 39.990
0.205 0.123 39.566
0.206 0.210 40.267
0.209 0.243 39.718
0.210 0.259 40.148
0.210 0.173 40.203
0.212 0.312 39.963
0.212 0.260 40.296
0.212 0.232 40.273
0.215 0.127 40.476
0.219 0.063 40.094
0.220 0.204 40.173
0.222 0.042 40.272
0.209 0.222 40.254
0.223 0.322 40.126
0.224 0.413 40.450
0.228 0.153 40.182
0.229 0.324 40.722
0.229 0.247 40.355
0.231 0.285 39.999
0.231 0.171 40.356
0.231 0.295 40.597
0.231 0.154 40.283
0.232 0.228 40.457
0.233 0.248 40.531
0.233 0.450 40.253
0.234 0.299 40.728
0.236 0.199 40.444
0.238 0.247 40.490
0.238 0.115 40.638
0.240 0.166 40.454
0.240 0.263 40.208
0.241 0.257 40.508
0.243 0.339 40.352
0.245 0.415 40.499
0.171 0.245 40.408
0.246 0.361 40.650
0.246 0.333 40.305
0.247 0.129 40.205
0.247 0.207 40.544
0.248 0.068 40.483
0.248 0.169 40.482
0.397 0.249 40.538
0.250 0.038 40.489
0.251 0.255 40.481
0.253 0.424 40.720
0.253 0.355 40.666
0.254 0.159 40.443
0.255 0.287 40.613
0.257 0.185 40.933
0.258 0.349 40.502
0.259 0.245 40.612
0.260 0.149 40.353
0.261 0.404 40.693
0.266 0.142 40.603
0.269 0.266 40.893
0.270 0.274 40.904
0.270 0.352 40.843
0.273 0.346 40.933
0.273 0.178 40.756
0.274 0.413 40.898
0.276 0.226 40.932
0.277 0.287 41.046
0.277 0.178 40.788
0.277 0.237 40.802
0.278 0.215 41.097
0.279 0.425 40.956
0.279 0.361 40.853
0.279 0.307 40.657
0.280 0.169 40.573
0.281 0.196 41.103
0.282 0.155 41.008
0.284 0.252 40.807
0.285 0.161 40.734
0.285 0.093 41.220
0.286 0.426 40.810
0.286 0.177 40.803
0.287 0.264 40.990
0.287 0.275 40.994
0.288 0.337 41.040
0.288 0.365 40.803
0.289 0.117 40.725
0.289 0.108 40.948
0.290 0.228 40.956
0.292 0.334 40.762
0.292 0.252 41.108
0.293 0.326 40.460
0.293 0.370 40.708
0.293 0.129 41.445
0.294 0.211 40.797
0.294 0.244 40.928
0.312 0.295 41.120
0.297 0.254 40.976
0.297 0.314 40.850
0.299 0.481 40.944
0.301 0.425 40.869
0.302 0.148 40.817
0.302 0.417 41.360
0.305 0.469 41.026
0.306 0.524 41.194
0.307 0.356 40.968
0.309 0.170 41.203
0.309 0.352 41.324
0.339 0.312 41.320
0.312 0.613 41.328
0.313 0.458 40.772
0.314 0.315 40.602
0.315 0.242 41.438
0.315 0.163 41.047
0.315 0.315 41.201
0.315 0.097 41.083
0.315 0.215 41.020
0.318 0.502 41.366
0.319 0.241 41.347
0.319 0.441 41.267
0.320 0.338 41.134
0.321 0.382 41.107
0.322 0.332 41.137
0.323 0.197 41.058
0.323 0.405 41.325
0.324 0.458 41.378
0.328 0.201 41.097
0.328 0.474 41.320
0.329 0.247 41.351
0.329 0.249 41.113
0.329 0.453 41.052
0.329 0.436 40.984
0.329 0.508 40.970
0.330 0.491 41.170
0.350 0.331 41.041
0.332 0.321 41.117
0.333 0.198 41.889
0.333 0.300 41.234
0.333 0.359 41.031
0.336 0.254 41.264
0.336 0.216 41.556
0.337 0.272 41.405
0.338 0.507 41.196
0.339 0.340 41.278
0.339 0.354 41.176
0.340 0.532 41.594
0.340 0.362 41.313
0.341 0.281 41.165
0.344 0.252 41.151
0.344 0.132 41.279
0.346 0.328 41.535
0.346 0.276 41.270
0.346 0.332 41.131
0.347 0.269 41.251
0.348 0.200 41.769
0.349 0.350 41.533
0.349 0.199 41.547
0.350 0.345 41.401
0.350 0.272 41.574
0.350 0.285 41.211
0.351 0.245 41.444
0.352 0.264 41.034
0.353 0.476 41.530
0.355 0.210 41.158
0.356 0.368 41.065
0.358 0.387 41.565
0.361 0.308 41.571
0.361 0.247 41.364
0.362 0.246 41.219
0.363 0.348 41.518
0.363 0.303 41.536
0.363 0.295 41.546
0.364 0.425 41.591
0.369 0.280 41.717
0.369 0.304 41.352
0.371 0.393 41.630
0.373 0.293 41.392
0.374 0.470 41.247
0.375 0.251 41.729
0.375 0.330 41.639
0.375 0.451 41.720
0.376 0.518 41.616
0.377 0.266 41.405
0.298 0.382 41.630
0.384 0.411 42.047
0.385 0.312 41.587
0.385 0.253 41.347
0.386 0.402 41.412
0.387 0.484 41.633
0.388 0.399 41.874
0.390 0.357 41.695
0.390 0.366 41.555
0.390 0.399 41.678
0.266 0.393 41.509
0.393 0.394 41.980
0.393 0.499 41.431
0.395 0.440 42.226
0.396 0.331 41.452
0.398 0.479 41.877
0.398 0.255 41.853
0.399 0.367 41.927
0.399 0.523 41.575
0.400 0.387 41.596
0.401 0.414 41.609
0.401 0.540 41.857
0.402 0.478 41.882
0.403 0.382 41.873
0.404 0.386 41.631
0.502 0.404 41.958
0.404 0.373 41.850
0.407 0.518 41.862
0.408 0.389 41.985
0.409 0.331 41.841
0.410 0.455 42.085
0.410 0.511 41.901
0.411 0.319 41.670
0.412 0.459 41.789
0.413 0.389 41.782
0.414 0.384 41.575
0.414 0.395 42.490
0.416 0.472 42.142
0.417 0.360 41.703
0.418 0.376 41.734
0.420 0.190 41.430
0.375 0.423 41.855
0.424 0.463 41.741
0.491 0.424 41.521
0.426 0.449 41.715
0.427 0.581 41.700
0.428 0.522 42.135
0.429 0.341 42.017
0.429 0.365 41.817
0.430 0.592 41.938
0.431 0.638 41.785
0.431 0.593 41.872
0.431 0.445 41.965
0.433 0.487 41.936
0.437 0.458 42.061
0.437 0.487 41.542
0.437 0.394 41.936
0.438 0.570 41.981
0.439 0.515 41.939
0.439 0.490 42.084
0.440 0.389 41.914
0.440 0.388 41.972
0.441 0.483 42.016
0.441 0.570 42.457
0.442 0.489 42.052
0.444 0.299 41.913
0.444 0.371 42.082
0.445 0.448 42.232
0.446 0.522 42.370
0.447 0.328 41.825
0.447 0.365 42.125
0.448 0.370 42.114
0.449 0.489 42.403
0.431 0.449 42.079
0.449 0.387 41.999
0.450 0.459 42.066
0.450 0.446 41.840
0.362 0.450 41.881
0.451 0.618 42.105
0.452 0.384 41.966
0.452 0.398 42.154
0.454 0.438 41.767
0.454 0.553 42.077
0.455 0.541 42.003
0.456 0.326 41.909
0.457 0.485 42.172
0.459 0.377 42.353
0.459 0.329 42.219
0.403 0.460 41.913
0.461 0.515 42.388
0.464 0.447 42.110
0.464 0.395 42.132
0.466 0.313 42.247
0.468 0.413 41.758
0.468 0.478 41.696
0.562 0.468 42.029
0.468 0.658 42.229
0.469 0.486 42.152
0.470 0.580 41.994
0.471 0.397 42.216
0.471 0.469 41.915
0.471 0.577 42.206
0.473 0.333 42.234
0.474 0.419 42.215
0.475 0.525 42.401
0.475 0.570 41.951
0.476 0.468 42.471
0.476 0.519 42.331
0.477 0.404 42.478
0.479 0.512 42.080
0.483 0.450 42.118
0.343 0.484 42.385
0.484 0.389 42.046
0.470 0.485 41.984
0.485 0.401 42.411
0.486 0.319 42.347
0.487 0.511 42.306
0.488 0.655 42.183
0.488 0.697 42.317
0.488 0.395 42.146
0.489 0.224 42.444
0.489 0.408 42.217
0.492 0.500 42.147
0.494 0.360 42.083
0.499 0.700 42.325
0.504 0.512 42.449
0.506 0.648 42.405
0.506 0.567 42.613
0.507 0.508 42.548
0.509 0.328 42.461
0.509 0.510 42.658
0.510 0.384 42.090
0.510 0.457 42.769
0.597 0.512 42.640
0.513 0.510 42.627
0.514 0.463 42.510
0.514 0.468 42.416
0.515 0.434 42.745
0.516 0.574 42.691
0.520 0.586 42.308
0.520 0.583 42.305
0.520 0.480 42.322
0.523 0.438 42.557
0.523 0.564 42.198
0.599 0.523 42.485
0.524 0.581 42.051
0.525 0.628 42.466
0.526 0.587 42.274
0.526 0.643 42.717
0.527 0.489 42.508
0.529 0.614 42.732
0.529 0.507 42.377
0.530 0.419 42.191
0.533 0.395 42.473
0.533 0.534 42.630
0.535 0.478 42.263
0.535 0.696 42.413
0.536 0.284 42.216
0.536 0.387 42.620
0.539 0.533 42.475
0.540 0.467 42.349
0.541 0.578 42.413
0.542 0.358 42.626
0.542 0.403 42.866
0.542 0.651 42.445
0.543 0.464 42.526
0.543 0.597 42.531
0.545 0.415 42.522
0.547 0.526 42.682
0.548 0.450 42.803
0.549 0.472 42.855
0.550 0.305 42.700
0.551 0.404 42.512
0.551 0.512 42.306
0.552 0.582 42.776
0.553 0.506 42.376
0.555 0.806 42.491
0.556 0.515 42.222
0.557 0.706 42.805
0.557 0.518 42.438
0.559 0.320 42.903
0.559 0.531 42.803
0.560 0.495 42.427
0.560 0.562 42.485
0.561 0.554 42.662
0.561 0.566 42.639
0.566 0.677 42.725
0.585 0.566 42.646
0.566 0.653 42.691
0.566 0.678 42.601
0.567 0.575 42.725
0.567 0.653 42.544
0.567 0.625 42.340
0.568 0.593 42.780
0.568 0.570 42.803
0.568 0.474 42.893
0.568 0.648 42.513
0.569 0.669 42.791
0.570 0.682 42.767
0.570 0.553 42.317
0.570 0.553 42.523
0.423 0.571 42.367
0.576 0.496 42.886
0.576 0.602 42.359
0.577 0.613 42.852
0.623 0.579 42.741
0.580 0.674 42.603
0.581 0.622 42.906
0.582 0.622 42.513
0.583 0.614 42.879
0.584 0.550 42.630
0.585 0.511 42.698
0.585 0.614 42.821
0.585 0.729 42.889
0.585 0.563 42.727
0.586 0.658 43.036
0.587 0.627 42.862
0.587 0.689 42.526
0.587 0.544 42.860
0.587 0.697 42.547
0.588 0.521 42.924
0.588 0.531 42.698
0.591 0.634 42.899
0.593 0.640 42.516
0.595 0.595 42.975
0.595 0.473 42.816
0.595 0.587 42.996
0.598 0.462 43.155
0.598 0.564 42.540
0.598 0.553 42.731
0.599 0.554 43.039
0.600 0.479 42.667
0.601 0.590 42.580
0.602 0.783 42.487
0.602 0.666 42.692
0.604 0.553 42.915
0.606 0.675 42.836
0.606 0.466 42.771
0.465 0.608 43.133
0.608 0.609 42.169
0.609 0.611 42.956
0.610 0.430 42.798
0.610 0.838 43.165
0.610 0.499 42.736
0.612 0.710 42.436
0.612 0.607 43.224
0.612 0.572 42.700
0.613 0.634 42.743
0.615 0.591 42.930
0.617 0.610 42.819
0.618 0.576 42.677
0.618 0.502 43.272
0.619 0.572 43.047
0.621 0.711 42.536
0.626 0.736 42.650
0.626 0.691 43.031
0.626 0.627 42.635
0.627 0.615 43.125
0.628 0.647 43.231
0.629 0.629 42.816
0.630 0.564 43.641
0.631 0.551 42.762
0.631 0.612 43.035
0.632 0.615 42.893
0.632 0.536 42.686
0.632 0.806 42.873
0.634 0.725 42.799
0.634 0.608 42.609
0.634 0.656 43.120
0.636 0.690 42.789
0.638 0.699 43.010
0.638 0.787 42.461
0.638 0.683 42.869
0.639 0.688 43.096
0.640 0.678 43.134
0.642 0.581 43.128
0.642 0.518 42.996
0.653 0.642 42.824
0.643 0.620 43.122
0.645 0.792 43.236
0.585 0.649 43.099
0.652 0.489 42.931
0.652 0.691 43.164
0.652 0.692 42.772
0.654 0.451 43.236
0.655 0.812 43.245
0.655 0.669 43.341
0.656 0.689 42.857
0.686 0.657 42.691
0.659 0.692 43.351
0.659 0.765 43.081
0.660 0.540 43.057
0.661 0.685 43.194
0.661 0.518 42.798
0.665 0.567 43.143
0.665 0.742 43.230
0.656 0.666 43.154
0.643 0.667 43.000
0.667 0.722 43.156
0.669 0.683 42.920
0.671 0.801 43.010
0.675 0.770 42.845
0.675 0.524 42.762
0.675 0.455 43.105
0.678 0.546 43.021
0.679 0.637 43.186
0.679 0.720 43.158
0.681 0.836 43.020
0.682 0.788 43.339
0.683 0.714 42.853
0.683 0.530 43.209
0.683 0.848 43.196
0.684 0.671 43.088
0.684 0.748 43.446
0.685 0.616 43.043
0.686 0.564 43.400
0.747 0.687 43.432
0.688 0.543 43.190
0.688 0.778 43.250
0.689 0.718 43.010
0.689 0.563 43.244
0.690 0.732 42.828
0.691 0.627 43.042
0.691 0.730 43.324
0.693 0.794 42.970
0.694 0.894 43.124
0.694 0.530 43.233
0.694 0.732 43.067
0.696 0.673 43.040
0.698 0.795 43.376
0.698 0.683 43.352
0.699 0.650 43.439
0.699 0.633 43.101
0.703 0.669 43.041
0.703 0.665 43.488
0.807 0.704 43.025
0.705 0.876 42.742
0.706 0.659 43.156
0.710 0.747 43.238
0.711 0.848 43.522
0.712 0.717 43.311
0.716 0.849 43.513
0.717 0.832 43.199
0.718 0.716 42.981
0.719 0.641 43.381
0.719 0.758 43.583
0.722 0.558 43.157
0.723 0.833 43.493
0.724 0.763 42.968
0.725 0.781 43.313
0.725 0.662 43.278
0.726 0.717 43.193
0.727 0.718 43.059
0.728 0.801 43.297
0.729 0.689 43.456
0.731 0.715 43.057
0.732 0.734 43.236
0.733 0.701 43.384
0.734 0.729 43.678
0.735 0.643 43.354
0.735 0.790 43.401
0.735 0.612 43.223
0.735 0.875 43.150
0.735 0.827 43.782
0.735 0.681 43.724
0.736 0.804 43.504
0.739 0.873 43.459
0.740 0.649 43.071
0.740 0.884 43.390
0.741 0.712 43.196
0.742 0.613 43.192
0.742 0.704 43.498
0.742 0.779 43.572
0.658 0.743 42.867
0.745 0.711 43.133
0.745 0.863 43.387
0.745 0.869 43.389
0.745 0.658 43.136
0.746 0.641 43.477
0.748 0.571 43.559
0.750 0.787 43.195
0.751 0.766 43.556
0.752 0.629 43.386
0.752 0.718 43.112
0.752 0.868 43.160
0.753 0.728 43.324
0.755 0.677 43.699
0.756 0.599 43.000
0.758 0.791 43.640
0.758 0.810 43.284
0.759 0.681 43.588
0.760 0.769 43.510
0.761 0.817 43.321
0.798 0.763 43.630
0.810 0.765 43.597
0.765 0.864 43.694
0.766 0.862 43.484
0.769 0.670 43.382
0.770 0.727 43.782
0.771 0.639 43.469
0.772 0.813 43.405
0.772 0.815 43.600
0.774 0.730 43.525
0.775 0.791 43.434
0.775 0.705 44.003
0.777 0.761 43.432
0.778 0.771 43.513
0.781 0.721 43.364
0.782 0.605 43.676
0.783 0.794 43.506
0.783 0.783 43.514
0.786 0.794 43.599
0.786 0.655 43.410
0.786 0.868 43.300
0.788 0.790 43.870
0.789 0.861 43.321
0.789 0.775 43.464
0.790 0.799 43.600
0.790 0.809 43.403
0.791 0.818 43.454
0.791 0.820 43.323
0.792 0.709 43.227
0.792 0.680 43.567
0.793 0.768 43.489
0.793 0.754 43.534
0.794 0.816 43.563
0.795 0.752 42.997
0.726 0.796 43.853
0.798 0.756 43.699
0.865 0.798 43.930
0.800 0.845 43.495
0.800 0.872 43.461
0.801 0.833 43.555
0.803 0.797 43.521
0.804 0.936 44.242
0.804 0.929 43.329
0.805 0.870 43.638
0.943 0.806 43.819
0.806 0.857 43.375
0.808 0.836 43.651
0.809 0.869 43.613
0.809 0.887 43.812
0.813 0.731 43.379
0.813 0.790 43.388
0.814 0.952 43.764
0.814 0.806 43.768
0.814 1.071 43.764
0.817 0.817 43.707
0.818 0.902 43.821
0.819 0.755 43.280
0.821 1.080 43.392
0.823 0.966 43.829
0.823 0.890 43.822
0.824 0.817 43.446
0.824 0.890 43.753
0.825 1.006 43.659
0.825 0.864 43.487
0.826 0.737 43.613
0.827 0.768 43.589
0.827 0.740 43.488
0.829 0.892 43.906
0.829 0.872 43.687
0.829 0.931 43.476
0.830 0.710 43.653
0.830 0.885 43.951
0.831 1.060 43.725
0.831 0.696 43.703
0.833 0.947 43.742
0.833 0.785 43.519
0.833 0.842 43.879
0.834 0.791 43.810
0.835 0.765 43.692
0.840 0.998 43.651
0.840 0.852 43.634
0.842 0.905 43.907
0.842 0.801 44.137
0.843 0.865 43.990
0.801 0.846 43.797
0.853 0.848 43.943
0.849 0.906 43.943
0.850 0.874 43.840
0.850 0.832 43.701
0.851 0.871 43.710
0.851 0.808 43.531
0.852 0.782 43.943
0.852 0.920 43.928
0.853 0.898 43.921
0.853 0.902 44.115
0.854 0.901 43.687
0.855 0.822 43.682
0.855 0.812 43.786
0.856 0.909 43.906
0.879 0.859 43.963
0.862 0.943 43.719
0.862 0.830 44.023
0.863 0.648 43.940
0.864 0.900 43.758
0.864 1.049 44.524
0.934 0.865 43.626
0.866 0.917 43.753
0.867 0.910 44.300
0.806 0.869 43.787
0.870 0.642 43.916
0.870 0.835 43.932
0.871 0.939 43.794
0.872 0.841 44.096
0.874 0.755 43.478
0.876 0.740 43.673
0.877 0.889 43.828
0.878 0.893 43.698
0.880 1.058 43.923
0.880 0.875 43.597
0.881 0.963 43.869
0.881 0.718 43.576
0.881 0.655 43.978
0.882 0.967 43.901
0.884 0.829 43.880
0.884 0.747 44.478
0.884 0.996 43.848
0.885 0.894 43.765
0.885 0.766 43.876
0.886 0.948 43.828
0.887 0.877 43.900
0.887 1.031 43.549
0.887 1.063 43.752
1.025 0.888 43.851
0.889 1.001 43.723
0.890 0.951 43.961
0.891 0.858 43.594
0.891 0.925 44.049
0.892 0.800 43.689
0.893 1.019 43.623
0.895 0.876 44.063
0.896 0.731 44.012
0.898 0.880 43.826
0.898 0.987 43.651
0.899 0.903 43.862
0.901 0.942 44.117
0.764 0.902 44.177
0.902 0.796 43.846
0.953 0.903 43.845
0.904 1.087 43.715
0.905 0.993 43.832
0.907 1.052 43.972
0.908 0.840 44.150
0.916 0.896 43.856
0.916 1.016 44.037
0.918 1.010 43.944
0.919 0.993 43.974
0.920 0.876 43.905
0.980 0.921 44.075
0.900 0.922 44.085
0.923 0.901 43.720
0.924 0.822 43.963
0.924 1.003 43.853
0.924 0.887 43.925
0.925 0.864 43.872
0.926 1.049 44.130
0.926 0.753 43.868
0.929 1.013 43.845
0.929 1.020 44.058
0.930 1.127 43.945
0.888 0.931 43.957
0.824 0.931 43.781
0.932 0.852 44.235
0.933 1.053 44.016
0.934 1.088 44.131
1.057 0.934 43.649
0.936 0.845 43.862
0.936 0.901 44.086
0.937 0.986 44.035
0.937 0.919 43.956
0.939 0.885 43.475
0.941 0.742 43.949
0.942 0.850 43.915
0.943 0.800 43.931
0.944 0.858 43.926
0.944 0.927 44.282
0.947 1.141 43.887
0.948 0.883 44.350
0.949 0.969 43.902
0.949 0.947 43.644
0.953 1.005 44.165
0.953 0.888 44.406
0.954 0.934 43.788
0.957 0.998 44.046
0.957 0.985 44.427
0.958 0.936 44.056
0.962 0.991 44.054
0.962 0.987 44.234
0.964 1.016 44.114
0.966 1.069 43.908
0.967 1.036 44.271
0.972 0.990 43.884
0.972 0.974 44.151
0.975 0.956 44.011
0.977 0.792 43.662
0.979 1.058 44.374
0.979 1.156 44.299
0.980 1.094 43.979
0.981 1.093 44.335
0.981 0.981 44.244
0.981 0.814 43.970
0.982 1.055 44.500
0.982 1.060 44.057
0.983 1.057 44.360
0.985 0.691 44.149
0.863 0.987 44.421
0.989 0.936 43.924
0.990 0.846 44.382
0.991 1.000 44.281
0.992 0.848 44.128
0.992 1.082 44.691
0.994 1.100 44.274
0.994 1.067 44.557
0.936 0.995 44.537
0.996 1.012 44.081
0.997 1.073 44.253
0.997 0.921 43.866
0.998 0.976 44.282
