# Photo-z error: 0.04 *(1+z)
# Error in mu 0.20
# z_true z_obs mu_obs
0.587 0.587 42.717
0.588 0.509 42.565
0.588 0.662 42.891
0.589 0.620 42.820
0.589 0.592 42.953
0.591 0.672 42.604
0.591 0.604 43.048
0.592 0.616 43.001
0.593 0.446 42.746
0.594 0.683 42.872
0.596 0.642 42.932
0.597 0.612 43.003
0.598 0.587 42.604
0.598 0.623 42.986
0.600 0.625 42.523
0.602 0.565 42.976
0.602 0.635 42.745
0.603 0.549 42.667
0.603 0.588 42.663
0.603 0.627 42.979
0.603 0.543 42.740
0.604 0.615 42.655
0.605 0.546 43.163
0.607 0.532 42.634
0.608 0.568 42.976
0.608 0.678 42.963
0.611 0.631 42.640
0.614 0.714 42.953
0.617 0.633 42.822
0.617 0.615 42.895
0.618 0.615 42.871
0.619 0.496 42.648
0.620 0.702 43.193
0.623 0.563 42.978
0.623 0.663 42.822
0.624 0.685 42.771
0.624 0.527 43.004
0.624 0.589 42.941
0.627 0.697 43.008
0.628 0.566 42.778
0.628 0.677 42.486
0.630 0.603 42.811
0.632 0.449 43.175
0.633 0.617 43.017
0.633 0.734 43.376
0.635 0.699 42.822
0.641 0.716 42.740
0.641 0.709 43.166
0.644 0.558 42.729
0.645 0.642 42.899
0.645 0.646 42.805
0.645 0.687 42.902
0.646 0.687 42.986
0.649 0.645 43.049
0.649 0.671 42.763
0.650 0.720 43.329
0.652 0.672 43.147
0.653 0.676 43.140
0.653 0.660 42.680
0.657 0.696 43.154
0.657 0.674 42.701
0.657 0.677 42.701
0.661 0.662 43.164
0.662 0.597 43.091
0.663 0.655 42.990
0.663 0.716 42.831
0.663 0.621 43.117
0.664 0.723 43.036
0.665 0.623 42.850
0.665 0.736 42.994
0.666 0.725 42.803
0.667 0.726 43.631
0.667 0.560 42.921
0.668 0.601 43.066
0.668 0.614 42.990
0.669 0.768 43.429
0.670 0.686 43.071
0.670 0.761 43.235
0.670 0.657 43.009
0.671 0.719 42.954
0.673 0.579 43.109
0.674 0.732 43.133
0.676 0.694 43.301
0.676 0.689 43.335
0.677 0.545 42.672
0.677 0.712 42.905
0.679 0.624 42.985
0.679 0.791 42.936
0.680 0.673 43.244
0.682 0.670 43.143
0.685 0.696 42.888
0.685 0.596 42.937
0.686 0.773 43.324
0.687 0.681 43.149
0.687 0.755 43.042
0.688 0.694 43.277
0.688 0.681 42.987
0.692 0.740 43.243
0.694 0.642 42.948
0.694 0.715 43.404
0.694 0.798 42.947
0.695 0.748 43.050
0.695 0.659 43.108
0.696 0.711 43.156
0.697 0.775 43.135
0.700 0.598 43.249
0.700 0.665 43.281
0.703 0.692 43.351
0.704 0.551 43.312
0.705 0.641 43.380
0.707 0.734 43.438
0.707 0.741 43.027
0.710 0.687 43.288
0.711 0.720 42.973
0.714 0.731 43.144
0.716 0.690 43.257
0.717 0.826 43.497
0.718 0.762 43.125
0.718 0.857 43.238
0.719 0.657 43.256
0.722 0.692 43.331
0.722 0.723 43.319
0.723 0.829 43.107
0.723 0.776 43.466
0.724 0.697 43.273
0.725 0.804 43.381
0.729 0.767 43.121
0.730 0.786 43.325
0.730 0.849 43.376
0.731 0.651 43.018
0.731 0.801 43.503
0.731 0.723 43.572
0.732 0.782 43.384
0.733 0.752 43.037
0.734 0.739 43.422
0.738 0.774 43.498
0.738 0.754 43.503
0.740 0.865 43.557
0.740 0.768 43.627
0.741 0.807 43.764
0.742 0.836 43.327
0.745 0.788 43.701
0.746 0.767 43.302
0.747 0.669 43.445
0.747 0.731 43.328
0.747 0.748 43.324
0.747 0.802 43.440
0.748 0.838 43.397
0.748 0.839 43.428
0.749 0.736 43.419
0.749 0.711 43.706
0.749 0.712 43.107
0.754 0.823 43.358
0.755 0.772 43.232
0.755 0.807 43.680
0.756 0.683 43.619
0.757 0.729 43.506
0.759 0.702 43.842
0.759 0.801 43.417
0.763 0.764 43.428
0.764 0.785 43.456
0.765 0.753 43.624
0.766 0.809 43.632
0.769 0.723 43.558
0.770 0.826 43.311
0.772 0.729 43.348
0.774 0.673 43.283
0.778 0.692 43.622
0.779 0.637 43.024
0.780 0.770 43.319
0.780 0.840 43.432
0.781 0.762 43.743
0.783 0.722 43.530
0.784 0.758 43.216
0.784 0.726 43.435
0.786 0.800 43.714
0.790 0.794 42.994
0.790 0.714 43.310
0.791 0.802 43.390
0.792 0.846 43.522
0.793 0.780 43.535
0.796 1.000 43.530
0.796 0.810 43.071
0.796 0.695 43.480
0.796 0.660 43.429
0.800 0.781 43.475
0.800 0.757 43.457
0.808 0.890 43.512
0.810 0.733 43.430
0.812 0.780 43.775
0.813 0.741 43.610
0.816 0.720 43.573
0.817 0.694 43.784
0.821 0.939 43.980
0.822 0.712 43.536
0.823 0.804 43.525
0.825 0.974 43.671
0.830 0.868 43.191
0.833 0.815 43.604
0.833 0.862 43.694
0.833 0.909 43.836
0.834 0.879 43.256
0.837 0.805 43.568
0.837 0.816 43.487
0.843 0.634 43.761
0.845 0.953 43.671
0.845 0.965 43.990
0.847 0.893 43.924
0.848 0.898 43.656
0.848 0.856 43.615
0.851 0.783 43.614
0.852 0.862 44.164
0.853 0.910 43.744
0.856 0.885 43.585
0.856 0.822 43.765
0.857 0.882 43.991
0.858 0.835 43.880
0.862 0.813 43.874
0.862 0.824 43.736
0.863 0.849 44.191
0.863 0.851 43.845
0.863 0.689 44.093
0.868 0.915 43.671
0.869 0.923 44.009
0.870 0.892 43.757
0.873 0.835 43.969
0.875 0.913 43.620
0.875 0.892 43.670
0.875 0.815 43.845
0.876 0.864 43.662
0.878 0.886 43.481
0.882 0.946 43.774
0.882 0.874 43.812
0.884 0.967 44.138
0.884 0.797 43.543
0.886 0.769 43.535
0.886 0.757 43.975
0.887 0.956 43.779
0.888 0.837 43.773
0.893 0.820 43.427
0.893 0.889 43.705
0.893 0.809 43.520
0.894 0.894 43.933
0.894 0.753 43.975
0.896 0.740 43.601
0.896 0.848 44.230
0.897 0.874 43.982
0.898 0.784 43.756
0.900 0.949 43.825
0.900 0.965 43.509
0.900 0.905 43.502
0.903 0.862 44.100
0.903 0.972 44.277
0.903 0.880 44.483
0.903 0.954 43.642
0.906 0.892 43.874
0.907 0.878 44.492
0.911 0.863 43.757
0.912 0.617 43.712
0.912 1.044 43.512
0.913 0.901 43.913
0.914 0.903 43.619
0.915 1.000 43.878
0.915 0.928 43.754
0.917 0.919 43.880
0.917 0.993 43.665
0.917 0.990 43.813
0.917 0.991 43.793
0.918 0.948 43.872
0.919 1.000 44.122
0.919 0.990 43.742
0.921 1.022 43.797
0.923 1.039 44.000
0.928 0.948 44.097
0.929 1.033 43.919
0.932 0.946 44.010
0.932 1.024 43.766
0.936 0.922 43.921
0.937 1.031 43.914
0.940 0.934 44.012
0.943 1.027 43.983
0.943 1.041 44.233
0.944 0.961 43.922
0.949 1.072 43.934
0.949 0.866 44.099
0.954 0.935 43.724
0.955 0.897 44.014
0.959 1.099 44.117
0.959 0.909 44.182
0.959 0.998 44.276
0.961 0.937 43.743
0.964 0.961 44.093
0.966 0.955 44.106
0.970 1.049 44.354
0.972 0.925 44.141
0.972 1.087 44.067
0.973 0.890 44.372
0.976 1.042 44.222
0.980 0.880 43.933
0.981 0.996 43.960
0.981 0.951 44.023
0.981 0.935 44.223
0.982 0.985 44.213
0.985 0.882 44.141
0.988 1.075 44.093
0.992 1.076 44.279
0.993 1.008 43.904
0.993 1.025 44.127
0.995 1.113 44.171
0.995 1.007 43.973
0.997 0.969 44.487
0.999 1.123 43.797
1.003 1.129 44.367
1.005 1.001 44.164
1.006 0.993 44.071
1.009 0.950 44.058
1.009 0.832 43.963
1.011 0.898 44.477
1.021 1.085 44.442
1.021 1.029 44.229
1.023 0.954 44.101
1.026 1.098 44.326
1.029 0.992 44.496
1.029 1.170 44.338
1.029 0.938 43.953
1.029 0.929 44.128
1.029 0.988 44.394
1.030 1.095 44.000
1.031 0.948 43.895
1.033 1.018 44.411
1.037 0.961 44.103
1.038 1.087 44.414
1.040 1.025 44.264
1.040 1.094 44.411
1.046 1.106 44.199
1.052 1.027 44.213
1.052 1.000 44.480
1.052 1.002 44.165
1.060 1.093 44.327
1.067 1.071 44.057
1.068 0.964 44.333
1.069 0.989 44.386
1.073 0.987 44.290
1.084 1.089 44.605
1.086 0.931 44.559
1.088 1.039 44.485
1.090 0.918 44.260
1.093 0.966 44.378
1.095 1.132 44.637
1.096 1.239 44.666
1.100 1.112 44.557
1.109 1.236 44.788
1.111 1.134 44.421
1.111 1.210 44.456
1.113 1.149 44.707
1.113 1.086 44.327
1.114 1.062 44.433
1.120 1.144 44.268
1.121 1.137 44.364
1.124 1.080 44.006
1.128 1.209 44.470
1.129 1.194 44.802
1.131 1.272 44.741
1.132 1.233 44.777
1.133 1.066 44.675
1.134 1.076 44.446
1.136 1.190 44.435
1.141 1.288 44.172
1.143 1.080 44.269
1.143 1.026 44.320
1.146 1.183 44.329
1.152 1.197 44.790
1.154 1.113 44.491
1.154 1.028 44.550
1.158 1.190 44.244
1.162 1.151 44.480
1.168 0.963 44.652
1.170 1.138 44.471
1.175 1.212 44.688
1.176 1.123 44.346
1.178 1.152 44.390
1.181 1.160 44.350
1.184 1.229 44.577
1.184 1.074 44.425
1.188 1.178 44.463
1.188 1.239 44.411
1.190 1.194 44.799
1.193 1.009 44.309
1.197 1.080 44.563
1.201 1.159 44.918
1.201 1.161 44.415
1.207 1.088 44.607
1.218 1.257 44.502
1.220 1.206 44.332
1.225 1.116 44.588
1.233 1.220 44.482
1.233 1.169 44.464
1.246 1.180 44.662
1.249 1.525 44.626
1.259 1.341 44.426
1.274 1.417 44.672
1.283 1.306 45.028
1.286 1.368 44.831
1.292 1.344 45.328
1.302 1.287 44.808
1.304 1.178 44.843
1.306 1.349 44.826
1.307 1.368 44.854
1.309 1.323 44.815
1.315 1.163 44.895
1.315 1.499 44.749
1.315 1.336 45.295
1.316 1.301 44.653
1.322 1.449 45.050
1.324 1.250 44.832
1.326 1.379 45.239
1.332 1.337 44.773
1.335 1.295 44.807
1.336 1.201 45.017
1.344 1.286 45.121
1.355 1.394 44.775
1.356 1.507 44.999
1.357 1.374 45.213
1.364 1.448 44.846
1.364 1.269 44.970
1.370 1.227 45.280
1.370 1.385 44.733
1.374 1.494 45.135
1.375 1.649 45.008
1.387 1.381 45.258
1.400 1.374 45.140
